hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
vedikaissaarmyy, love bangtan short essay vedika bangtan sonyeodan bts years ago would  2000 days guys made bts made  everyone welp bts expectations award show also going oof  hi im vedika fav bts pic  forever support bts bts life forever army
josephinejaye1, dont think people realize much strength takes pull depression anxiety panic atta
Enerrgizer, amount cringe wild games always top depression team brings
akemicario, denied short term long term disability insurance chronic depression anxiety im
Thatsnotnice4, suffer depression anxiety psychosis one point thats control
bellaaaaaaaa622, frickkkk still depression bc yall braking yall get back together
britboisammy, depressed bart simpson
ThiccPop, stroke genius decided short circuit seasonal depression becoming twilight fan enamori
sassquill, ive essentially booted house moms depression hours idea lol
JennCharlotte, want weighted blanket anxiety instead always drinking night calm price gives inc  okay brand use anxiety crazy cbd tinctures list try  fritz left speech evaluation starting therapy end month one session
Mark_E_Marxist, quit still cant sleep without hours anxiety inner monologue hand  still got ptsd second renaissance  many pts wales get  way deal depression
JuniperTheSloth, different youre saying trans people still depressed
tinylightball, like someone took depression sprinkled sugar infused commercialization mu  cheaper therapy
jonbecker_, push crippling depression right bed pointless crap
purrmaidx, prepared emo depression shower found playlist party starters depress
SirEviscerate, john lennon christmas done get back john got depression  oh already anxiety
ChaseChoi8, thanks broaching subject talking depression wellmeaning friends often mak  reading lemortedarthur yeah kind surprised ive never read think put trauma
SabrinaCNeff2, feel sorry katy went depression common go depression
chillcolfer2, really best news hate admit weeks depression taking care  needed content bad smile glasses general soothes away depression bei  hate crippling depression
lsntHeIovely, struggle depression watch videos give decent advice
TheNerdyRocker, im going really great productive sunday depression  clarify yes therapy session  therapy session coworker day
Jewelrese, dont think exists yall antisocial introversion amp depression suburban qualities  point person grew hood thats antisocial introverted depression dont say chief keef bc hes extroverted  find suburbs even find depression suburbs never found depression hoods  going predominantly black neighborhoods gives anxiety bc black ppl always talk blacks dont allow antisocial  im certain female friends wonder always crib amp nvr get invite depression  honestly isolate ppl friends prolly think im flake niggas prolly think got niga thats depression  freaky depression fuck bad took one dosage amp see clearly
Styla73, moved netherlands uk whole lot stress lost money betw
kebles, 10 years ago millennial depression playing many video games even energy play video games good day  im poorly cover stoicism irony xdddddd seriously help worldmentalhealthday
smurff32896, person shouldnt allowed uterus seasonal depression wtf want refund  shit triggers anxiety really doesnt make sense  irrational fears causing major anxiety morning great past time  wow havent anxiety bad fucking sucks fuck invented anxiety sue
CryPain99, random tweet changing crystal pain crystal payne windows im sad depressed  omg omg omg omg omg omg pts yaaaassssss  look got mail getting really brighten day im sad depressed
Melomanebird2, 12 hours sleep vivid dreams feel quite low anxious today sure spend day ptsd cptsd  complex ptsd child abuse grooming sexual abuse domestic abuse narcasists  weird im watching vampire diaries stefan ptsd even vampires suffer vampirediaries ptsd stefan  sorry ptsd also right anchor life minute hope find strength everyday  ptsd spend christmas alone year family leave friends  good video ptsd ptsd cptsd mentalhealth mentalhealthawareness  dad ptsd  14 hours sleep feeling bit better positive today ptsd cptsd mentalhealth mentalhealthawareness sleep  ptsd repeated trauma suffer different ways everyday today angry  pizza corona pizza fridayfeeling corona ptsd cptsd mentalhealth  feeling bit better positive selfie girlsbreakingbarriers mentalhealth snapchat womenontheverge  moved day fridayfeeling fridaythoughts ptsd cptsd anxiety depression selfie snugs snuggleup  really cant bothered today ptsd cptsd mentalhealth mentalhealthawareness depression  thursday club selfie thursdaythoughts thursdaymotivation snapchat filter ptsd cptsd stopthepressure  lovely walk fields horses cptsd ptsd walk horses breathing calm sun relax mentalhealth  right gunna stick tunes cleaning thursdaymotivation ptsd cptsd mentalhealth mentalhealthawareness davidgrey  massive pressure anxiety shakes fit get psychotic wired usually end dri  downloaded medication app phone help take tablets time everyday ptsd cptsd  life changing documentary ptsd cptsd  feeling ok nice steak pie got heating gunna watch netflix netflix ptsd cptsd recovery mentalhealth  exercised cleanedwashingyogafreshbedding still feeling hypo alert gunna crack open ptsd cptsd mentalhealth  sorry hear dont like hearing giving committed suicide months ago  tried managed 15 mins became irritable defensive practice ptsd yoga
arthao_o, yes big sad disorder doctor maam say depression  sounds like something anxiety wouldnt say  anxiety  one make show like bts wgat fuckkkd
tsumitanagayuki, lrt wild fact happened depression
TheSassMaster16, hi sacred eaten today drank water depression kicking ass
It_Is_Shellie, im medications high anxiety massive depression ptsd several treatments  words ptsd affects come meet women abusetalk live trauma well  large extremely large groups people create anxiety rise point leave specific events  continuing struggle living ptsd massive depression anxiety days worse others fortunately  letting others life always extremely difficult since abuse emotionally still fi  treated ptsd yet never diagnosed im medication looked jobs relat  ptsd ptsdsymptoms mentalhealth lifewithptsd ptsdinwomen ptsdawareness mentalillness supportwomen  testimonialmonday different world daily living mentalillness struggle heart mind  people ive met days get looks judgement tell live high anxiety amp massive depr  life living ptsd let say isnt roses shelliepalmer  would wonderful magic potion get rid anxiety massive depression amp ptsd physical  already playlist taria music nature writing therapy  blogging journey high gad mdd ptsd way even proactive mental  triggers disrupting living mentalillness included reason  new zealand adds warning astarisborn due triggers cause suicidal thoughts mentalhealth  yes woman living breathing human living ptsd struggle daily yet wont let hinder al  mental well emotional abuse caused ptsd due online relationshipimposter  began truly open diagnosis high functioning gad massive depression ptsd theres se  hospitalized past august sucidial ideation treated ptsd medication  rain days makes depression worse others ugh
Taniaferguson, omg first book collection poems overcoming depression available amazon worldwide  senseless depression feels invisibile many real anymore bu  restored sight lost depression ones know wonderfully scary
AllLightsOnUs, wanna dig camera roll depression cause cant stop laughing
heartofalderaan, think sister well though also depression general aggravated time year  discussion dr yesterday seasonal affective disorder aggravates depression symptoms  good day days like wish still felt like capable writer always like therapy
JulitaSerna, type depression real momlife realmom depressionisreal iwanttorunaway postpartum hav
mallorydelage, years ago today went first one direction concert raven still post concert depression
audjj8, ever said much love depression
Meandmymhmatter, selfcaresunday selfcare done today ive nap mentalhealth mentalillness bpd  mentalhealth mentalillness bpd depression anxiety psychosis talkmh mentalhealthawareness mhbloggers  day 12 gratitude30 wisdom sometimes wisest thing say nothing mentalhealth  new blog post check link bio pinned tweet mentalhealth mentalillness bpd depression anxiety  new blog post self harm insiders perspective via mentalhealth  day 11 gratitude30 gift biggest gift give others time mentalhealth mentalillness bpd  bpd killing ripping apart im trying use dbt skills im failing hard  im struggling need hug mentalhealth mentalillness bpd depression anxiety psychosis talkmh  day 10 gratitude30 music music helps lot mentalhealth mentalillness bpd depression anxiety  day 778 365daysofselfcare going therapy talking care coordinator  hey im jo blog mentalhealth bloghour  seen new blog post day life via mentalhealth  dealing bpd  new blog post day life mentalhealth mentalillness bpd depression anxiety psychosis talkmh  therapy care coordinator afternoon difficult conversation cc ive refused crisis team recommendation  new blog post day life via mentalhealth mentalillness bpd  mentalhealth mentalillness bpd depression anxiety psychosis talkmh mentalhealthawareness mhbloggers  good article minus derision bpd us real illness effects daily  day gratitude30 memories another quote drseuss mentalhealth mentalillness bpd  today selfcaresunday selfcare done today couple walks mentalhealth  check post anxiety panicattacks  tooth broke due mentalillness struggle brush teeth feel unworthy  cat therapy homework well cant cats caturday dbt bpd  want make documentary bpd ideas approach  explains lot mentalhealth mentalillness bpd depression anxiety psychosis talkmh  quote wonderful could mental illness mentalhealth mentalillness bpd  day gratitude30 colour doesnt love rainbow mentalhealth mentalillness  get people send books bookbloggers mentalhealth mentalillness books  anyone else 29 ways people borderline personality disorder selfsabotage bpd  day gratitude30 love quote winnie pooh perfect mentalhealth  break blogging continues please read pst taking break important mentalhealth  day 771 365daysofselfcare going therapy open  hi im jo blog mentalhealth bloghour  therapy today cried front group hate dbt bpd
ThisAsaudi, depression like cancer made stay strong dont believe say idea
Becci_Coop, depression illness choice feeling drained despite anything able sl  telling people mental illness choose mentally ill depression choice apparently oh  im measuring anyones trauma would guy posting ignorant stuf  sadness may choice depression illness say something ignorant hav
jussyc123, think depression im dead inside dont even emotion towards anymore
nowinunit, serious depression  isthe sun actual sun im depressed  feeling little insecure cos chenles outsinging bts since
bangtan_sunsets, bts music made happy without depression would much worse lis  whos streaming epiphany bts jin  really needed hear ty sm told mom last night think depression  time mma starting mma2018 bts
sabirShinwarie, depression anxiety took medicines years took weight 85 115  stuff letting suicide wise dunya main sirf aur airf munafiqat aur nafrat baqqi reh gae hain  trust dear days going huge stress business collapse still
kwoosoft, strong semi concert depression since like february want see rose  depression tastes like cheap ramen plastic cup seedy coke without fizz okay cause fortun
A2Pirana, saw therapy expensive know agencies take  love im retired rn years depression life parents undiag
HandsomeSanders, im aware change back go depression wether want  depression didnt care staying room leaving virgil knock  virgil could see tue door would probably see depression giving finger uwu hes ju  depression looked unamused ғɪʀsᴛ ᴏғ ᴀʟʟ ɪᴛ ʟᴏᴏᴋs ʟɪᴋᴇ ʏᴏᴜʀᴇ ʜᴜʀᴛɪɴɢ ᴇɴᴏᴜɢʜ ᴀɴᴅ ᴡʜʏ  depression opened door quickly expecting see roman least virgil roman nope  depression anything point wanted beat living shit virgil  depression doubled pain letting go roman trying get situated took deep  depression hed going manipulated growled grabbed roman keepin  ᴅᴏᴇsɴᴛ ɪᴛ roman watching floor trying listen hoping depression woul  opened depression stared unhappybored expression ᴡʜᴀᴛ ᴅᴏ ʏᴏᴜ ᴡᴀɴᴛ ᴀɴxɪᴇᴛʏ  depression stopped heard scream turning towards romans room curiously demanded roma  depression accepted quickly since roman way easier manipulate took away room  im sorry love virgil depression could come roman quickly took virgil kin  roman let big sigh relief hes dead mmaybe ten minutes depression came  roman didnt even realize depression left picking virgil laying bed took virg
starbux_lover98, love rach kinda understand feel depression anxiety people get
elosisofficial, depression simple black white thing 1co 1013 god faithful let test  yes course heavy past drugs alcohol abuse youre  even faithful focused christians encounter periods depression spiritual darkness joy seem  suffer depression realized experience god
VlXSUNE, pssh like depression something  worst dampd group imagine grumpy mom dwarf daddy problems half elf anxiety disorder drow
mrbrownsays, come ofsted better research seem open abuse seems put
jlhcorley, dont forget mentally ill three different mental illnesses ocd ptsd clinical depre  ive times always suicidal thoughts depression sosuicidal depression hah  entered church 2001 right first clergy abuse scandal going full throttle fell love wi
errornest, dont winter seasonal depression scorpio season depression  addiction nicotine born stressors life also spite parents im sorry
ljhmyg, almost anxiety attack train coming home ive got lavender face mask tea nail polish read go  want hear like specific ppl talk abt bts bc im tired  good news found sanitizer gotta love ocd triggered feel like hands fall  sry get depressed btwn gay tweets im gal trying buy animal rehabilitation farm love life
Shmoozled, decided rebrand struggle anxiety depression im done living fear  play competitive video games definitely doesnt cause stress  uninstalled overwatch much stress life husband father waste time angry young kids  saved lives date suicide prevention training first aide please take time take co  big announcement coming next couple days time take stand mental health stigma
OhDionne, going therapy past years practicing mindful living hasnt made less depressed made les  depression cant fixed managed everything right means tools may  im someone paper everything right comes handling depression exercise eat regula
Jamodden, strenght found light work depression gave strenght fight  talinda bennington linkin parks mike shinoda appear suicide prevention psa  thats awesome mental health important talk removing stigma around
squidne_, forgave someone lying cheating emotional abuse manipulation etc person still left people  im happy enough im suicidal also depressed enough idc die lol
WynnEmalee, song actually makes cry accurate description loving someone depression  last two pills took havent kicked one night stands addiction  man cannot get pregnant seek abortion imagine anxiety turmoil woman might  omg im good mood im glad lil break depression ended weird daze  seasonal affective depression trash know damn well im sluggish im god damn lizard requ
haasanspeaks, arsenal every week may delete vines cure depression playlist love  diagnosis charity week ended depression treatment sign 2019
dontcallmebooby, struggled medical problems caused major depression turn caused stop eating
ItsBritbytch, feel depression coming back hope leaves entirely  dont time bipolar attitude  bd said want tbh stress tf stress baby bad delivery wait waiting room
Tami_Bry, empathy combat veterans ptsd im really tired va treated ive lost  catecholamine rush triggered trauma may also modify th1 th2 shift cytokine effector  ptsd excerpt article would also benefit specific short longterm sequelae tha  suicidal turned alcohol drugs combat see gulf war illness ptsd  heres sjs diagnosis piece nurse dismissed cytokine storm anxiety mentioned  infections triggered trauma start testing yo  theyve got soooooooo wrong thats still committing suicide daily mass numbers plain si  dyshydrotic eczema first visible symptoms came anxiety depression sinus inf  ive spent last years trying escape abuse cant safely rely solution provide  great information elaborate cold exposure technique mentioned article making anxiety  sad reality society problem accepting someone ptsd goes crazy hurts others yet fail  memories veterans son living undiagnosed ptsd via  like lyme infection epidemic malaria infection epidemic disguised ptsd
steph6harts, story abuse depression anxiety recovery worked hard please share  suffer sever anxiety ptsd really tough know breathing acupuncture really
PRTWriter, might noti clinical depression great anime taught gonna carry  southpark stop crap career suicide answer
tokyoonseok, also anxiety disorders  thats stan bts  met bts  major depression  snow copany like snapchat know filters bts uses thats snow zepeto safe yall
Funk_Iero, doesnt help anxiety flares time feel like im choking thinking  depression crippling hate feel forced anything im low eb telling
LaylaElFan1, depression generalized anxiety disorder social anxiety disorder struggle  depression generalized anxiety disorder social anxiety disorder  yes social anxiety ruined life real cannot lot normal stuff im  well fact social anxiety disorder ive ever since child  anxiety going fucking end im sick tired terrified living im scared death life
lexivranick, church today priest mention people feel depressed holidays amp made point say de  a2 personally lot going day job department month caused lot stress  may accidentally turned simple slasherhorror story allegory stigma amp improper handling ment  adventurous letting hair stylist decide color hair going pray anxiety
Frankenstfu, miw better make best album career something distract ghost depression
TheRealTBruce, thing holding back living fulfilling life little energy fighting depression  gamessowhite zoe quinns shitty excuse text adventure patriarchy depression mystruggles shitlord
OctopusNacho, delightful stabbing pain get chest something sets anxiety really badly anxiety  person dont know im sure really believe depression anxiety think get also  half night tight chest palpitations job thats causing joy anxiety  anxiety hits left field youre watching tv like bam idea whats happen  could regenerate like doctor im pretty sure anxiety would regenerate doctorwho anxietyproblems anxietyawareness  anxiety kids mix well kid hide behind bed jumped think anxiety legitimat  wonder id didnt crippling self doubt poor self esteem crazy anxiety depression would  anxiety middle night hey worried cool anxiety worried  mental illness confusing like google crying time like maybe youre depressed  trying peaceful walk secluded unknown anxiety thinks best fie  love cats pretend dont separation anxiety amp totally dont need youlike nah dude totally gon  inception cool dream within dream scenario dream within dream anxiety  depression hits like truck day get cold funtimes depression notfeelingit  horrid anxiety attacks trying get sleep waking night wished time  need make important phone call anxiety leave til tomorrow said yesterday anxiety  autumn time year play cant get cold dark bim depressed loat  random science query youve severely depressed ages amp rare joyful day flood feel goo  allowed ask depressed person tired fact dont ask anyone ask ther  dear brain already anxiety im stressed actually dont need woken nightmares making feel wo
spacepaedo, jay alzheimers
RoyalHoeliness, gonna hit gym soon mentioned use exercise manage depression anxiety wrote  ive started travel despite social anxiety ive flown several times grounding period lasted months
Ms_JayneMarie, wish kinda support comes dealing anexity depression  depression thoughts beating brain day home alone nothing interesting watch read  depression therapist wasteoftime
ItzRottie, right need stop making depression something small effects many people eve
mrithejester, please read thread journey major depression since 2012 still  perhaps need another century treat depression illness women people  done except attempting suicide planned tiniest detail selfharm coping mecha  nothing eliminates trauma would allpowerful god let happen child first place  depression started years ago suddenly dropped 66kg 58  thing got real life find place comfortable good anxiety years
EIDiabloRojo, emotional connections gone last year would sent depression im arsed
untitled0000000, keep ignoring depression caused worsened dismize something else  get away convinced done right thing leave heavily depressed yo  dont cause someone depression ignore worsens make hell persons life  dont know want achieve denying depression minimizing person  thank making cry much thank giving horrendous depression doesnt improve thank  ones benefited worsening depression got duped betrayed heart broken  thank ruining life giving worse depression ever keep using favor  yes youve ment well ones caused depression worsen ha  depressed struggling alone yes mood swings dont full control  depression living dark thoughts urges blurt foundation  depression noise answering telephone making decisions afraid making decisions  depression severe easily explained kids  hate depression im miss miss things compared  dont believe existence depression interested informing provide sup  depression victims mentality fear doubt procrastination lack courage selfesteem  work 79 blutack kneaded rolled ball depressed wall martin creed 1993  trying really control thoughts easily could heavy depression  ignorant dont bother inform ends hurting depressed person
caehawksmoor, ive suffered depression life recently started accept probably always  loving sound already soft spot depressed commander
ricflairdahvid, fam origi must suffer depression would ran length pitch celebrating goal
KBGoddard, battle try stay positive productive deal anxiety depression
killmeyoongii, yoongi depression anxiety sarcastically savage hate big crowds hav  uh friend trying calm seeing bts hhhh  thats lot bts fans also marvel fans  think getting bts hype like crazy say  color blue green black remind bias yoongi red white remind bts whole  bts posts anything army  first bts real kpop wtf second shes real army real army love support kpop groups
natigueNY, depression really made look dusty mayseptember 2018 damn didnt snap cut hair  manipulation abuse  lemme guess suicide
VelliniV, happening rock roll suicide thing referenced  lot wrong bipolar drinks rea  certain dj thinks posting reference suicide instagram story joyously playing
xx_earthyjess, horrible ass coping habits depression ie oversleeping excessive drinking eating lea  wish anxiety would fuck  spontaneously buying tickets best friends go day show new orleans given slight anxiety  trying hard dig depression ill feel good couple days crash fucking hard  fucking crazy weed amp espresso make feel little less depressed
melonmyg, thank existing bringing happiness around saved millions us depression  stan legends stan bts stan satan uwu  ikr bts breathed smh
jojiebooks, case didnt know im depression  real depression hours  take suicide city nooses thick death pretty  case didnt know im depression  real depression hours  take suicide city nooses thick death pretty  case didnt know im depression  real depression hours  take suicide city nooses thick death pretty  case didnt know im depression  real depression hours  take suicide city nooses thick death pretty  case didnt know im depression  real depression hours  take suicide city nooses thick death pretty  case didnt know im depression  real depression hours  take suicide city nooses thick death pretty  case didnt know im depression  real depression hours  take suicide city nooses thick death pretty
Ddaeng1802, remember smiling playing together hugging etc bts made love th  depression anxiety dont like go meet new people tried suicide  bts  bts
FrancisHiruma09, wholesome lately depression best friend dont leave  fell asleep 5pm 1130pm converted stress energies chakra perform jutsus  theres point crying im failing depression making stronger
porkywap, thing start seeing therapist fuckin depression fr dont
sarahevictor, glad possibility trying ketamine treatmentresistant depression exists  stop referring ketamine party drug reinforces erroneous belief ketamine tx depression  opinion piece ketamine depression suicide opinions thread 1n  amazing new resource help create safety plan prevent suicide loved  worthwhile read lived experience selfharm scars recovery stigma nssi recovery livedexp  idea mentally ill ppl risk suicide wrong otherizes ppl struggle st  wrote long thread international survivors suicide loss day deleted briefly first  today international survivors suicide loss day recognizing bereaved death loved one su  attending abct2018 interested ema research selfinjury suicide related processes daily life come  actual title women detail sexual abuse dartmouth professors lawsuit seems apt ac  never okay talk suicide patients reasons concealing suicidal ideation psychotherapy  amazing easy conflate correlation causation type suicide research suicidal behav  almost 23 us gun deaths suicides suicide prevention wo guns like lung cancer prevention wo considerin  read plus statement top means safety saves lives spsm suicideprevention  anxiety election anxiety impending job interview world may never know definitelyboth  sometimes people hesitant talk gun safety context suicide wont happen
iamscottjones13, experience depression allowed better understand life complicated accept better  realize important involved people depression happens get stuck  never easy give want depression disease  im single time relationship im interested wellbeing
leni_lava, told depression wanted take everyday
shinsoustardust, tl eitger bayonetta dude bts going  think severe depression anxiety issues parents god doesnt exist lol parents therapy  think parents want go therapy dont believe god
shadeacrobat, almost read book anxiety depression person said dont degree psychology counseling
thekah38, billy monger battling must feeling im sure depression  unemployment many people make benefits back problems stress etc
SESAME222, always one heros im depression toughi know jus  everyone crazy things teenagers didnt sexually abuse rape anyone shes ju
OppsiteOfRad, thats time chirping depression  sighed seeing hiro pouting dont really know anxiety makes think  smh depression doesnt mean target others make feel like shit
cocteau_twinks, anyway got kicked dampd campaign bc ive miss many sessions half due depression  hey even tho woke wanting go missed last week meant meet due depression mana  article doesnt report crowe hurled disgusting racist abuse  anyway im depressed time watch nice feelgood film like children men
erikaxamor, depression problems
Peri_Artaku, likely hit rough patches depression winter im forcing stick good
tylrxt, depression starting get bad like great boyfriend cool roommates help
joshgvf, addition depression anxiety thinks also agoraphobia social anxiety well find next  know know dont worry im sorry deal depression well ill definitely st
APleasant_, biggest fight getting control depression emotional instability ive picked bad unhealthy
NeighbrhoodJuul, depression pack sumn different rly desire anything
vesi_xoxx, live great depression amazing night life im happy living time ba
howe21, beat depression years ago
ogmorgansmith, know external affirmation doesnt remedy depression someone loves let say
d0wninunderland, years ago begun road recovery therapy sessions anxiety depression kept fr  pretty much say anxiety fluctuating day far thisisfine
FPWellman, officers arent allowed problems admitted seeking therapy depression possi  angry advocating abuse serv  shocking news us navy admiral scott stearney found dead apparent suicide via
undojess, guest list im depressed  wish wasnt ugly didnt crippling depression wish friends never mind hehe
gayirishthot, local twit hangover biggest challenge faced year making depression seem enjoyable  tubbs gtgtgtgtgtgtgtgtgt bts
CuChulainnFan, go thru gallery delete dupes time 4500 ish pics thinking gives depression  grade world experience suffering rlly book report thinking makes depressed
shimjelly, depression doesnt look natural isnt saying isnt doesnt look natural look
MakeWay4smile, ever say anything hurts im really sorry likely dealing anxiety attack  44 talking bullying told said wow depression mild yea  never ever ever tell someone bpd mental illnesses make us worrysome dont tell us overreacting  song songs bpd really good far  bpd vs bipolar differences amp comorbidity via  bpd episode looks like living borderline personality diso via  bpd splitting via  bpd episode breakdown feels via  10 ways help someone bpd via  bpd episodes get angry get scared become extremely suicidal split lot ppl self harm  simple compliment save life better rting suicide hotline  hello everyone im back im still experiencing bpd episode rn imma every hehe  bipolar victims emotional times bpd bit worst since includes billion symptoms  swear next time say bpd better hear bipolar honestly makes pissed  bpd victim afraid lose everyone self harm something like cha  stop mixing bpd bipolar disorder different things  thinking suicide rn im hard time ignoring ill hopefully fine need time  heard firework anxiety going cant move  youre receiving help even problems remember look back last suicide  depression head see well drown lungs  last time attempted suicide heard grandpa crying made stop
DarthSilkyhair, finally wrote something depression long time  fucking depressed class one hour  neither girl pretty told shouldnt cant depressed everything others desire  people majoring psychology hide fact absolutely detestable fucking human beings  past couple months met terrible psychology majors saddens de  depressed tea feels good  hardest part therapy finally coming terms fact issues manifested beca  thing abuse often cant tell youre abused abusers charmers  strange realisation last night miss therapist need therapy never  therapy taught trace back events issues manifested good  reason post masturbation guilt depression exists masturbation feels fucking good
Kaya79480377, almost done life close suicide still im jot dying see last
MMReimers, today jon would 27 depression hadnt taken world soon never got chance fall lo  type medical abuse talking
windycity92, videos need finish make depression taken life keep eye new videos  rich enough depression shopping helps cant shopping every time im  new video upprobably tomorrow night sunday depression made hard lately keep videos goi
Lisam8Lisamarie, mentalhealthawareness takecareofyourself speakoutpleaselisten lookoutforothersbekind  today worldmentalhealthday anyone mental illness people scared speak please see
