Sibusiso_Mtambo, tonight pray every mental depression broken family jesus mighty name
soph_rafferty, anxiety come back hard jan lose appetite size pls
fancychae, bts de durur mu yapıştırmış cevabı
momiestefani, internets response hateful make trans youth depressed suic
FennelSpice, ay man let know ever need talk anything ive severe depression long
BiasedNerd, hello anxiety please let live today please dont make start worrying doubting friends
BiasedNerd, one fic chapters long hyungkyun depression making hard finish
BiasedNerd, work atm hyungkyun one ao3 half written stuff depression killi
BiasedNerd, also lets add wanted commit suicide literally energy even get
BiasedNerd, depressed binging penny dreadful probably go binge kdrama whatever
BiasedNerd, nothing says crying binging netflix depression thoughts thoughts back quote like ki
BiasedNerd, twitter next days comes monsta gonna make depressed yet us
rrnbncld, pota nakakamatay pala maging journalist daming threat suicide
ecstasysin, pain cant end depression made suicidal friend life hurtful bruises tired frustratedsad
EmilConrad, tired accused glamorizing suicide showed happens
EmilConrad, 134 depression also sad boi hour comes tru tunes golden album
EmilConrad, depression looks like nicest voice
EmilConrad, waitttt deal mu depression finally get happy
EmilConrad, get depressed basically sums
EmilConrad, something pulled depression quick second yes asmr minutes straight
_Loststarr, im still suffering fucking anxiety
_brittanysimone, many people suffer mental health problems whether depression anxiety suicidal thoughts etc kn
_brittanysimone, please say depression real
madamada_bot, good grief almost time group therapy saiharas trying pull names shinguujis sister
madamada_bot, good grief almost time group therapy saiharas trying pull names shinguujis sister
madamada_bot, good grief almost time group therapy saiharas trying pull names shinguujis sister
TracyBldwn, shawn mendes opened sexuality taylor swift text made panic anxiety buzzfeed
jen_ylagan, guess well try aba therapy next year really trial error
jen_ylagan, morning person na stress ako ngayon kung pano ako gigising ng 6am bukas
michaelreilly25, rebuilding addiction soberlife
LostWolfling, please watch movie tiny scene interrupts massage therapy gold
BebsCheshirecat, taking everything hate grandmother stress caused dad unwillingness show
shadowqueen2016, cough cough momokun using adhd excuse
shadowqueen2016, put ive emotional abuse bullied enough take temporary break internet
dhernandeza321, found coffee new addiction
SjurMidttun, called suicide hotline 188 brazil second time guy practically asked kill brazil joke
SjurMidttun, called suicide hotline brazil depressing call ever call 188 suici
KilikaBlack, edge cliff leaving notes suicidal depressed suppose like dad wish never spoke ca
Colin_Dolan, battling depression every day ive couple okay days followed day worry fear could easi
Colin_Dolan, depression never brought anything environmental always biological warning signs
Colin_Dolan, battling depression every day ive couple okay days back yo back little sleep still som
Colin_Dolan, find strength somehow beat depression mentalhealthmatters
Colin_Dolan, battling depression every day certainly best either mentally physically looking forward ch
Colin_Dolan, battling depression every day day 210 stressed take something back shop town pressure
Colin_Dolan, battling depression every day day 210 amp still night rarely sleeping 20 mins
Colin_Dolan, battling depression every day survived beaten suicidal thoughts 209 days tomorrow start
Colin_Dolan, seven months severe depression also physical injuries really missing
Colin_Dolan, experiencing depression dont try cope need support never afraid feel asha
Colin_Dolan, battling depression every day finding strength carry every day despite mind telling
Colin_Dolan, battling depression every day suffering since early may worry become suicidal
Colin_Dolan, battling depression every day unable focus anything positive feeling lost mentally confused empty insi
Colin_Dolan, battling depression every day couple days concentrating positives taken
Colin_Dolan, believe make stronger able cope depression better ever hits certainly
Colin_Dolan, surviving depression suicidal thoughts make stronger weaker person mentally
Colin_Dolan, battling depression every day buzz yesterdays trip worn intend keep busy poss
Colin_Dolan, battling depression every day good day today hope build upon gained battle long term
Colin_Dolan, sound rather scary maybe wonder suffered depression bro
Colin_Dolan, battling depression every day today travelled lads really opened
Colin_Dolan, comments like one drives beat depression stronger mentally
Colin_Dolan, battling depression every day woken feeling positive amp looking forward going along watch
Colin_Dolan, struggling depression months suicide watch part onl
Colin_Dolan, comments like push beat depression also speak openly mental ill health genera
Colin_Dolan, giving beat depression
Colin_Dolan, battling depression every day challenge every day find courage live every day fight
Colin_Dolan, months latest bout depression think yesterday turned corner hopefully
Colin_Dolan, post mental illness bipolar hope raising awareness educating certainly dont
Colin_Dolan, battling depression every day fight goes hour hour day day thought took major step forward yerte
Colin_Dolan, dont become suicide statistic talk someone anyone friend work colleague family member support wor
Colin_Dolan, suicide survivor could easily one 6881 sadly took lives uk last
Colin_Dolan, goodnight thanks everyone support survived another tough week fighting depression tomorrow
Colin_Dolan, pain amp suffering years depression mania nothing ever helped escape like playi
Colin_Dolan, battling depression every day spending much today convincing attend 5aside
Colin_Dolan, battling depression every day day spent nothing watching tv couple hours playing messing aro
Colin_Dolan, fighting depression like trying run quicksand
Colin_Dolan, battling depression every day made plans go see football friends got ready late knee
Colin_Dolan, battling depression every day one goal today get house visit lads footballtherapy mentalhealthawareness
Colin_Dolan, battling depression every day yet another sleepless night really want get house today moment
Colin_Dolan, christmas adverts nothing depression cant stand christmas best times
Colin_Dolan, battling depression every day frustration builds lead anxiety even anger simply
Colin_Dolan, battling depression every day feel like locking dark room forever cant talk anyone cant ev
Colin_Dolan, battling depression every day feel like failure let everyone mentalhealthawareness
Colin_Dolan, battling depression every day plans go visit lads amp couldnt bring get
Colin_Dolan, fighting depression every day wake bad nights sleep want sleep yo
Colin_Dolan, battling depression every day another wasted day spent bed cannot motivate anything whatsoever
Colin_Dolan, battling bipolar every day depression state atm months cant see light feel times
Colin_Dolan, immune depression
Colin_Dolan, noone immune mental illness keep mind stigmatise someone mentalhealthawareness
Colin_Dolan, battling depression every day mind moment living nightmare every single hour
Colin_Dolan, battling depression every day wanted go nice gentle walk sadly injured knee holding
Colin_Dolan, battling depression every day goals walk dark later today couch potato watching
Colin_Dolan, battling depression months suicidal thoughts period st
Colin_Dolan, facing dangers bipolar everyday survive win giving mentalhealthmatters
Colin_Dolan, today continue battle depression get fresh air spend quality time
Colin_Dolan, battling depression tried focus positive throughout day found getting tired
Colin_Dolan, fighting depression one day time today better yesterday today better yesterday toda
Colin_Dolan, hey depression fighting back im going win im giving
Colin_Dolan, battling back depression today better yesterday today better yesterday today wi
Colin_Dolan, fighting depression one day time roll tomorrow im ready take im giving mentalhealthmatters
Colin_Dolan, cant wait til im back giving talks mental ill health amp wellbeing forgetting sharing
Colin_Dolan, thanks mate taking things one day time least longer suicide watch anymore
Colin_Dolan, twitter account lately become diary depression stretches back may time ive
wordygirl11, think valid concern ppl experienced suicide family statistically
wordygirl11, two years ago lost daniel brother suicide knowing depth love
paddy_qualter, something seriously wrong rotherham council first ignore child abuse massive
TheAminaWright, fucking depressed god damn time created fucking misery always assholes wil
TheAminaWright, alcohol likes dumb stupid substance abuse mixed depression poor decision
TheAminaWright, everyone told trent go rehab drugsalcohol depression something wasnt right 10 years ag
TheAminaWright, aint duty take care psychologically damaged people refuse get therapy help
bIeachads, time counselor put suicide watch thread
emiliaboleyn, im pretty sure bpd going kill one day soon tbh means shit finally idgaf
emiliaboleyn, contacted therapist help shitty mh thanks bpd youre babe replied saying
emiliaboleyn, bpd fucking time
emiliaboleyn, bpd fucking ruining life
emiliaboleyn, aint nothing better fallen era evanescence concert mr alcohol depression hour hits
CUnderwoodUK, therapy well done courage talk easy
CUnderwoodUK, people add stigma mental health realise making harder themsel
CUnderwoodUK, anxiety flawless logic
CUnderwoodUK, yeah get feel like bpd adhd body dysmoprhia etc increasingly common
CUnderwoodUK, last year studied psychology noticed students knew depression anxiety oc
CUnderwoodUK, im going apologise cuz know ive twitter lately think mix stress
RussPurdie, ust one commits suicide leaves children behind without massive reason
RussPurdie, commit suicide leave wife children one hell big decision
RussPurdie, think alleged done valid reason commit suicide must mo
pvttersjedi, need keep mouth shut anxiety bad hehehee
treyj_miller, suicide never rational due existence inate live one decid
treyj_miller, think person needs scholarly article prove suicide isnt rational suicidal thoughts
treyj_miller, disagree think suicide rational think suicidal thoughts permanent think pe
treyj_miller, three incorrect suicide rational suicidal thoughts never perman
treyj_miller, dogmatism isnt exclusive religion spent hours ranting suicide rational suicidal
MikiTakesPhotos, thanks checking im still hospital depression today doctor said plans
MikiTakesPhotos, know havent posted much recently ive psych ward depression past days
MikiTakesPhotos, relatable depression anxiety
MikiTakesPhotos, selfportraits insomnia unshowered chain smoking chamomile tea depressionisreal mentalhealthmatters
MikiTakesPhotos, dont write struggles mentalhealth get sympathy write want others know
MikiTakesPhotos, years ago released psych ward major depression amp strong suicidal ideations
MikiTakesPhotos, oh dis mentalhealth fuck
MikiTakesPhotos, depressed fuck feeling like death sick fuck really bad combination sayin
MikiTakesPhotos, brain becomes mush im really depressed mush dont even know thats correct word descri
MikiTakesPhotos, dead inside dead outside bojack relatable depression
MikiTakesPhotos, thread taking thoughts inside depressed anxious mind livetweeting within
MikiTakesPhotos, anxiety grows imagine humans outside walking around talking friends may
MikiTakesPhotos, running ink running hope depression poetry
MikiTakesPhotos, roiling pain tip hair bottom feet depression mentalhealthawareness
MikiTakesPhotos, learned quickly depression passive lethargic state far might seem way
MikiTakesPhotos, recovering long bout 3ish yrs major depression means getting tired quickly traveling going
MikiTakesPhotos, makes question whether want live even know deep love life depression lies
MikiTakesPhotos, depression makes feel like youre failure despite accomplishments made continue make
Weaklymelon, ive suffered depression well really terrible thing wish things could
Weaklymelon, yeah depression people actually makes people tired
Weaklymelon, yeah real depressed past afraid say stuff cause didnt want bother
Suicidal_Buddha, way commit suicide part psychology take parts hard codin
Suicidal_Buddha, really need new addiction buddhism philosophy zen universe suffering generalnote rant
Suicidal_Buddha, debating suicide
assistitomon, irita bit hate hindi pure sadness thats wonder depression whatnot
timomuvuz3, punish crimes earlier real causes full criminals impoverished drug abuse sexual exploitation
reginecahanding, suicidal depressed anxiety still alive asked god image ive seen wa
razonablemoniq, people reached introduced ways help stress sadness
razonablemoniq, friends called called names etci depressed ive always experienced sl
razonablemoniq, ever since kid already anxiety sucked sucks ruined childhood ive always think th
razonablemoniq, feel bad feeling sad problematic depressed etc im going right lot people
razonablemoniq, suicide isnt answer youll get whatever problem maybe soon iloveyou lot ppl
playingamanda, sorry realised melbourne lifeline 13 11 44 suicide line 1300 651 251
playingamanda, dramatherapy gentle darwin breeze morning love working outdoors therapy isnt room
RogerBlazic, brlliant protect mentalhealth
RogerBlazic, addiction running wild crazy ride destroying humans read piece mentalhealthawareness
RogerBlazic, dont need freakin lines mentalhealthmatters
RogerBlazic, great video something many need see mentalhealthmatters
RogerBlazic, remember days depression marijuana neil young
RogerBlazic, tell im getting old im walking around fly stand back theres nothing see mentalhealthmatters
RogerBlazic, friday mentalhealth take yer meds mentalhealthmatters
RogerBlazic, best people talk listen mentalhealth consumers get
RogerBlazic, great article nailed abuse creates scars last heard scars permanent
RogerBlazic, lack knowledge means dont understand hence wisdom endthestigma
RogerBlazic, hva come ti california go legoland lego mentalhealthmatters sell clothes repost link
RogerBlazic, anyone addiction dopesick nation lived life crack like home movie yr
RogerBlazic, kate treatment plan meds therapy meditation
RogerBlazic, love attitude mentalhealthmatters
RogerBlazic, true friends mentalhealth consumers dont explain get
RogerBlazic, entertain suicide option youre severe pain despair selfloathing ugly anyone
RogerBlazic, check blog post suicide million people read
RogerBlazic, mentalhealth friends use hashtag mentalhealthmatters triple tweets
RogerBlazic, old joke time want die sleep like uncle yelling screaming like passengers car mentalhealth
RogerBlazic, mental health half minute mentalhealth
RogerBlazic, im proud blog im trying stopsuicide several years ago wrote post bl
RogerBlazic, would rather gay mental illness lotsof pain stigma struggle decision
RogerBlazic, take garbage yeah two people fucking mentalhealth
RogerBlazic, ecactly wjat said saved thousands lives one post painless suicide
RogerBlazic, buy aidens clothes sales help mentalhealth needs
RogerBlazic, matter bad anxiety panic attack cannot die panic attack might feel like may
RogerBlazic, alzheimers death sentence cure reversal new treatments purported slow progress
RogerBlazic, hardest part mother alzheimers day looked saidwho changed
RogerBlazic, hey im list read tweets see qualify mentalhealth bipolar anxiety addiction alz
RogerBlazic, deeliza lived dark road mentalhealth addiction took long time im enjoying
RogerBlazic, decades alcohol addiction 55 years mentalhealth issues 13 yrs sobriety yrs peaceful recovery sa
RogerBlazic, gary disagree majority us people mentalhealth issues us addiction histories suffer
RogerBlazic, everyone thinks ok talk depression arent im recovery
RogerBlazic, yeah shame enough people understand mentalhealth dog got sick could call
RogerBlazic, want get ball rolling endthestigma retweet mh tweets dont like spend half
RogerBlazic, mentalhealth filled pain suffering tears isolation despair physical pain rejection mocking wh
I_Shah15, cut toxicity abuse
todorokissjoon, iconic tbh fisrt heard bts hoseoks parts memorable
todorokissjoon, bts legends always
todorokissjoon, good morning bts
todorokissjoon, good night armys bts
todorokissjoon, favorite bts jpn song
todorokissjoon, congratulations bts winning artist year 2018 asia artist awards
todorokissjoon, bts fab group
todorokissjoon, hi miss bts
todorokissjoon, selling bts bookmarks unofficial merch ones gonna bulk buy namjoon bookmarks im gonna fcckn
todorokissjoon, im fuckin grateful bts
todorokissjoon, bts nation hoseoks vocals snapped
todorokissjoon, bts nation soooo goood im screamingggg
todorokissjoon, bts nation
todorokissjoon, go go go bts
todorokissjoon, legend behavior bts behavior
Aiden_NV, small simple things really need right friend talk someone hug mentalhealthawareness
sadqueerjpg, even gonna lie week ate shin ramen ice cream plantain chips ya know depression
sadqueerjpg, wild thing ptsd actively crying post panic attack dissociationing crying
ummmrita, theres something called thought broadcast clear symptom schizophrenia seemed real time
ummmrita, schizophrenia meds continuing fine dont want relapse
ummmrita, long session shrink ssris depression meds altogether also understood gender
zivankaaaa, get service pet anxiety need one omg
zivankaaaa, gonna cry eating rice cakes im depressed toes cold
zivankaaaa, im super fucking anxious cant take anxiety meds bc energized work im drinking coffee
zivankaaaa, song gotten countless anxiety attacks
zivankaaaa, needs therapy drunk online shopping
PaulDSmith13, lets see fighting ptsd presumption legislation two provinces ottawa actually act health care violen
PaulDSmith13, bad advice someone ptsd btw
PaulDSmith13, seriously suicidal depression ptsd helped get cute ver
PaulDSmith13, doesnt matter hard someone works ptsd like health challenge bad days happen
PaulDSmith13, ptsd presumption legislation safe staffing thewayforward
vn_potty, dbs der tolootsell temple property employ partygoons work hindus abuse great
HusamBalushi, hate started saying want commit suicide lot bored especially around people
wormsona, literally knows sexual abuse content triggers fic warning contains graphic scenes sexual
wormsona, idk adhd meds theyre rlly vivid dreams
ThaPyceez, thank god everyday peace mind hes blessed coming severe anxiety depression constant
ThaPyceez, yup one fatal flaws learn control bc cause self sabotage also fucks anxiety
SadPeach11, im sad wish courage commit suicide
SadPeach11, broke gave thoughts cut isnt considered addiction
SadPeach11, started senior year highschool today hope doesnt make even depressed im already havin
mdpride13, nine fucking years old whole fucking life live thought suicide option beca
mdpride13, quit depressed wow cured depression thanks girlie im longer sad wanna fuck sun use fl
mdpride13, good morning everyone fuck sea world fuck zoo fuck circus animal abuse
hectorg1931, contacted twitter support threatening suicide rose never joke
hectorg1931, rose please listen threatening suicide liable contact twitter personnel
_nrmsh, work anxiety hitting hard rn done zero work weekend due feverflu gahhhhhhh
essemtee, oh fucking god cured depression
essemtee, pulled death card future placement tarot reading waiting phone call la giving even anxiety
essemtee, new bio anxiety attacks immediately sex
essemtee, dishwashers made depressed people
essemtee, period depressed work morning still want late night text someone dont care validation
essemtee, order two 16 pizzas 22 bucks thats depression
essemtee, spent last 24 hrs stopping friend committing suicide ill drinking whole bottle wine
essemtee, crying keshas praying whitegirlshit also ave express abuse endured months agodunno therapy anymore
HowAboutBeth, aw thanks samantha like environment amp every department sans physio amp occupational therapy
YungHungLINK, shit like stings especially violent bipolar depression hate gg see ya
ihatemylife9148, hi dwayne sorry disturbing im young guy battling severe depression im
ihatemylife9148, talk suicide day every day thoughts
ihatemylife9148, please take minute visit go fund page share im depressed male im trying sor
ihatemylife9148, please take minute visit go fund page im depressed male im trying sort self
