hot_diggity_d,"['drugs', 'alcohol', 'seen', 'effect', 'honestly', 'hand', 'first', 'would', 'ive', 'depression']"
Nizzy_RS,"['mentalemotional', 'sacrificed', 'consequences', 'wellbeing', 'suffering', 'years', 'still', 'im']"
_zackkw,"['bullshit', 'sense', 'nap', 'away', 'bc', 'need', 'people', 'time', 'get', 'dont', 'depression']"
SimplyComplexx_,"['closet', 'mfs', 'hiding', 'sitting', 'mine', 'hate', 'want', 'life', 'really', 'anxiety', 'depression']"
AsabeaArreaga,"['asked', 'didnt', 'going', 'know', 'anxiety', 'depression']"
SIDE__GRAY,"['nooooooo', 'jess', 'cuz', 'followers', 'bitch', 'nice', 'honestly', 'sad', 'dm', 'worse', 'reason', 'anyone', 'made', 'sorry', 'makes', 'thought', 'person', 'times', 'ass', 'want', 'depressed', 'act', 'really', 'yea', 'um', 'like', 'time', 'ever', 'ive', 'im', 'depression']"
mvlktea,"['opened', 'talked', 'older', 'sister', 'scared', 'problems', 'found', 'would', 'everyone', 'said', 'social', 'mom', 'hate', 'always', 'today', 'anxiety', 'depression']"
SelestedeLaney,"['surprises', 'paying', 'teens', 'attention', 'havent', 'anyone', 'suffer', 'life', 'depression']"
all_2crazed,"['roasts', 'pregnant', 'discussing', 'mother', 'rather', 'push', 'waiting', 'asking', 'weve', 'recently', 'two', 'child', 'ton', 'away', 'friends', 'things', 'take', 'would', 'therapy', 'depressed', 'day', 'one', 'depression']"
TSR_Centurus,"['holiday', 'fighting', 'long', 'hate', 'season', 'lot', 'much', 'time', 'ive', 'depression']"
RagingClaw,"['gambling', 'struggles', 'thread', 'explain', 'suicidal', 'addiction', 'late', 'talk', 'read', 'thou', 'life', 'know', 'dont', 'depression']"
TheLizLincoln,"['missa', 'nephew', '2nd', 'clearly', 'diagnosed', 'grade', 'adhd', 'right']"
ugw90s,"['unproductive', 'skinny', 'googled', 'weighing', 'restricting', 'whove', 'urges', 'generally', 'terrified', 'periods', 'minding', 'exists', 'naturally', 'jealous', 'overwhelming', 'favourite', 'triggers', 'business', 'letting', 'decided', 'sense', 'drop', 'single', 'remind', 'anything', 'kinda', 'literally', 'weight', 'fit', 'bpd', 'especially', 'symptoms', 'idk', 'bp', 'working', 'control', 'eating', 'sick', 'diagnosed', 'seem', 'experience', 'making', 'done', 'kind', 'disorder', 'makes', 'best', 'gonna', 'much', 'bc']"
toewgmo,"['woek', 'hungry', 'weekend', 'rly', 'die', 'bc', 'fuckin', 'thats', 'lot', 'lik', 'ke', 'im', 'depression']"
vedikaissaarmyy,"['vedika', 'sonyeodan', 'bangtan', 'forever', 'welp', 'expectations', 'essay', '2000', 'short', 'bts', 'award', 'oof', 'army', 'made', 'guys', 'fav', 'support', 'pic', 'ago', 'show', 'everyone', 'days', 'years', 'also', 'would', 'going', 'love', 'life', 'hi', 'im']"
josephinejaye1,"['strength', 'pull', 'takes', 'panic', 'realize', 'atta', 'much', 'think', 'people', 'dont', 'anxiety', 'depression']"
Enerrgizer,"['cringe', 'brings', 'wild', 'team', 'games', 'amount', 'top', 'always', 'depression']"
akemicario,"['denied', 'insurance', 'disability', 'term', 'short', 'chronic', 'long', 'anxiety', 'im', 'depression']"
Thatsnotnice4,"['psychosis', 'control', 'point', 'thats', 'suffer', 'one', 'anxiety', 'depression']"
bellaaaaaaaa622,"['frickkkk', 'braking', 'together', 'yall', 'bc', 'back', 'still', 'get', 'depression']"
britboisammy,"['simpson', 'bart', 'depressed']"
ThiccPop,"['enamori', 'genius', 'circuit', 'twilight', 'stroke', 'becoming', 'short', 'decided', 'fan', 'seasonal', 'depression']"
sassquill,"['booted', 'essentially', 'moms', 'house', 'hours', 'idea', 'lol', 'ive', 'depression']"
JennCharlotte,"['tinctures', 'fritz', 'evaluation', 'weighted', 'price', 'brand', 'blanket', 'speech', 'cbd', 'drinking', 'starting', 'session', 'instead', 'crazy', 'calm', 'gives', 'left', 'okay', 'month', 'list', 'night', 'always', 'inc', 'try', 'therapy', 'want', 'end', 'use', 'anxiety', 'one']"
Mark_E_Marxist,"['monologue', 'renaissance', 'wales', 'inner', 'second', 'quit', 'hours', 'hand', 'without', 'still', 'ptsd', 'many', 'sleep', 'deal', 'pts', 'got', 'cant', 'way', 'get', 'anxiety', 'depression']"
JuniperTheSloth,"['trans', 'different', 'saying', 'youre', 'still', 'people', 'depressed']"
tinylightball,"['infused', 'commercialization', 'sprinkled', 'cheaper', 'sugar', 'took', 'someone', 'therapy', 'mu', 'like', 'depression']"
jonbecker_,"['pointless', 'crap', 'push', 'crippling', 'bed', 'right', 'depression']"
purrmaidx,"['starters', 'prepared', 'party', 'playlist', 'shower', 'found', 'emo', 'depression', 'depress']"
SirEviscerate,"['lennon', 'john', 'christmas', 'done', 'already', 'oh', 'back', 'got', 'get', 'anxiety', 'depression']"
ChaseChoi8,"['broaching', 'wellmeaning', 'lemortedarthur', 'subject', 'surprised', 'reading', 'often', 'yeah', 'talking', 'put', 'thanks', 'kind', 'friends', 'trauma', 'never', 'read', 'mak', 'think', 'ive', 'depression']"
SabrinaCNeff2,"['katy', 'common', 'went', 'sorry', 'feel', 'go', 'depression']"
chillcolfer2,"['soothes', 'glasses', 'content', 'admit', 'needed', 'smile', 'news', 'general', 'weeks', 'bei', 'hate', 'taking', 'crippling', 'away', 'best', 'care', 'bad', 'really', 'depression']"
lsntHeIovely,"['decent', 'advice', 'videos', 'struggle', 'watch', 'give', 'depression']"
TheNerdyRocker,"['clarify', 'coworker', 'session', 'sunday', 'productive', 'great', 'therapy', 'yes', 'going', 'really', 'day', 'im', 'depression']"
Jewelrese,"['suburbs', 'antisocial', 'prolly', 'introversion', 'suburban', 'keef', 'extroverted', 'hoods', 'neighborhoods', 'blacks', 'nvr', 'niga', 'freaky', 'qualities', 'predominantly', 'flake', 'introverted', 'chief', 'dosage', 'niggas', 'exists', 'invite', 'grew', 'clearly', 'isolate', 'black', 'female', 'crib', 'certain', 'find', 'allow', 'hood', 'gives', 'bc', 'friends', 'took', 'ppl', 'honestly', 'found', 'wonder', 'thats', 'always', 'yall', 'amp', 'point', 'think', 'hes', 'person', 'never', 'talk']"
Styla73,"['netherlands', 'betw', 'moved', 'uk', 'money', 'lost', 'whole', 'lot', 'stress']"
kebles,"['millennial', 'stoicism', 'xdddddd', 'poorly', 'irony', 'games', 'playing', 'worldmentalhealthday', 'video', 'seriously', 'energy', 'cover', 'play', 'ago', '10', 'many', 'years', 'good', 'even', 'help', 'day', 'im', 'depression']"
smurff32896,"['uterus', 'refund', 'irrational', 'invented', 'fears', 'allowed', 'causing', 'triggers', 'wtf', 'shouldnt', 'sense', 'morning', 'major', 'wow', 'havent', 'sucks', 'sue', 'past', 'doesnt', 'fucking', 'great', 'seasonal', 'shit', 'person', 'bad', 'fuck', 'make', 'want', 'really', 'time', 'anxiety', 'depression']"
CryPain99,"['crystal', 'yaaaassssss', 'brighten', 'omg', 'payne', 'windows', 'changing', 'mail', 'random', 'sad', 'pain', 'tweet', 'getting', 'pts', 'look', 'got', 'depressed', 'really', 'day', 'im']"
Melomanebird2,"['cptsd', 'stefan', 'corona', 'thursdaymotivation', 'gunna', 'selfie', 'fridayfeeling', 'snapchat', 'horses', 'grooming', 'narcasists', 'vampires', 'vampirediaries', 'girlsbreakingbarriers', 'womenontheverge', 'snugs', 'snuggleup', 'stopthepressure', 'davidgrey', 'wired', 'downloaded', 'steak', 'exercised', 'cleanedwashingyogafreshbedding', 'defensive', 'netflix', 'pizza', 'diaries', 'anchor', 'fridaythoughts', 'thursdaythoughts', 'fields', 'vivid', 'vampire', 'tunes', 'cleaning', 'shakes', 'tablets', 'alert', 'irritable', 'ptsd', 'mentalhealthawareness', 'filter', 'repeated', 'everyday', 'bothered', 'club', 'documentary', 'hypo', 'mentalhealth']"
arthao_o,"['wgat', 'fuckkkd', 'maam', 'sounds', 'wouldnt', 'doctor', 'big', 'show', 'disorder', 'say', 'something', 'yes', 'sad', 'bts', 'make', 'like', 'anxiety', 'one', 'depression']"
tsumitanagayuki,"['lrt', 'wild', 'happened', 'fact', 'depression']"
TheSassMaster16,"['drank', 'sacred', 'eaten', 'water', 'kicking', 'today', 'ass', 'hi', 'depression']"
It_Is_Shellie,"['massive', 'abusetalk', 'ptsdsymptoms', 'lifewithptsd', 'ptsdinwomen', 'supportwomen', 'testimonialmonday', 'shelliepalmer', 'potion', 'proactive', 'disrupting', 'relationshipimposter', 'sucidial', 'taria', 'zealand', 'astarisborn', 'hinder', 'gad', 'ptsdawareness', 'judgement', 'triggers', 'large', 'blogging', 'hospitalized', 'mentalillness', 'living', 'roses', 'treated', 'continuing', 'included', 'treatments', 'adds', 'ptsd', 'extremely', 'mdd', 'began', 'august', 'nature', 'daily', 'ideation', 'others', 'jobs', 'medications', 'affects', 'magic', 'specific', 'emotionally', 'warning', 'breathing', 'functioning']"
Taniaferguson,"['senseless', 'invisibile', 'wonderfully', 'poems', 'amazon', 'restored', 'collection', 'worldwide', 'overcoming', 'sight', 'available', 'scary', 'omg', 'feels', 'anymore', 'lost', 'book', 'first', 'ones', 'many', 'bu', 'know', 'real', 'depression']"
AllLightsOnUs,"['camera', 'laughing', 'dig', 'roll', 'wanna', 'stop', 'cause', 'cant', 'depression']"
heartofalderaan,"['aggravated', 'aggravates', 'capable', 'affective', 'discussion', 'writer', 'sister', 'yesterday', 'general', 'symptoms', 'felt', 'wish', 'disorder', 'seasonal', 'days', 'always', 'also', 'well', 'though', 'still', 'good', 'therapy', 'like', 'year', 'dr', 'think', 'time', 'day', 'depression']"
JulitaSerna,"['momlife', 'realmom', 'iwanttorunaway', 'depressionisreal', 'postpartum', 'type', 'hav', 'real', 'depression']"
mallorydelage,"['raven', 'direction', 'concert', 'went', 'ago', 'first', 'years', 'post', 'still', 'today', 'one', 'depression']"
audjj8,"['said', 'much', 'love', 'ever', 'depression']"
Meandmymhmatter,"['gratitude30', 'talkmh', 'selfcaresunday', 'mhbloggers', 'coordinator', 'bloghour', 'mentalillness', 'dbt', '365daysofselfcare', 'psychosis', 'bpd', 'blog', 'wisest', 'insiders', '778', 'refused', 'derision', 'drseuss', 'panicattacks', 'unworthy', 'caturday', 'rainbow', 'bookbloggers', 'winnie', 'pooh', '771', 'quote', 'mentalhealth', 'gift', 'walks', 'selfsabotage', 'pinned', 'ripping', 'minus', 'tooth', 'colour', 'blogging', 'continues', 'selfcare', 'wisdom', 'perspective', 'recommendation', 'teeth', 'books', 'via', 'failing', 'documentary', 'explains', 'brush', 'afternoon']"
ThisAsaudi,"['cancer', 'strong', 'stay', 'idea', 'believe', 'made', 'say', 'dont', 'like', 'depression']"
Becci_Coop,"['measuring', 'ignorant', 'anyones', 'choice', 'drained', 'despite', 'posting', 'choose', 'illness', 'apparently', 'mentally', 'sadness', 'telling', 'stuf', 'guy', 'anything', 'hav', 'oh', 'something', 'trauma', 'able', 'may', 'feeling', 'would', 'say', 'sl', 'mental', 'people', 'ill', 'im', 'depression']"
jussyc123,"['towards', 'inside', 'dead', 'anymore', 'emotion', 'even', 'think', 'dont', 'im', 'depression']"
nowinunit,"['isthe', 'chenles', 'outsinging', 'insecure', 'sun', 'cos', 'serious', 'little', 'actual', 'since', 'feeling', 'bts', 'depressed', 'im', 'depression']"
bangtan_sunsets,"['epiphany', 'streaming', 'mma2018', 'jin', 'whos', 'needed', 'starting', 'mma', 'music', 'bts', 'told', 'without', 'worse', 'made', 'happy', 'mom', 'hear', 'last', 'night', 'lis', 'sm', 'would', 'much', 'really', 'think', 'time', 'ty', 'depression']"
sabirShinwarie,"['medicines', '115', 'sirf', 'airf', 'munafiqat', 'nafrat', 'baqqi', 'dunya', 'gae', 'aur', 'collapse', '85', 'hain', 'reh', 'business', 'letting', 'wise', 'took', 'trust', 'dear', 'huge', 'main', 'weight', 'stuff', 'days', 'years', 'still', 'going', 'suicide', 'stress', 'anxiety', 'depression']"
kwoosoft,"['february', 'seedy', 'fizz', 'ramen', 'tastes', 'plastic', 'coke', 'cheap', 'semi', 'rose', 'cup', 'fortun', 'strong', 'concert', 'without', 'okay', 'since', 'cause', 'want', 'see', 'like', 'depression']"
A2Pirana,"['agencies', 'retired', 'undiag', 'expensive', 'parents', 'saw', 'years', 'take', 'therapy', 'love', 'life', 'rn', 'know', 'im', 'depression']"
HandsomeSanders,"['virgil', 'ɪᴛ', 'roman', 'quickly', 'unamused', 'ғɪʀsᴛ', 'ᴏғ', 'ᴀʟʟ', 'ʟᴏᴏᴋs', 'ʟɪᴋᴇ', 'ʏᴏᴜʀᴇ', 'ʜᴜʀᴛɪɴɢ', 'ᴇɴᴏᴜɢʜ', 'ᴀɴᴅ', 'ᴡʜʏ', 'situated', 'manipulated', 'growled', 'ᴅᴏᴇsɴᴛ', 'unhappybored', 'ᴡʜᴀᴛ', 'ᴅᴏ', 'ʏᴏᴜ', 'ᴡᴀɴᴛ', 'ᴀɴxɪᴇᴛʏ', 'romans', 'curiously', 'opened', 'doubled', 'grabbed', 'stared', 'mmaybe', 'wether', 'demanded', 'manipulate', 'picking', 'door', 'floor', 'expression', 'took', 'finger', 'accepted', 'virg', 'expecting', 'room', 'staying', 'knock', 'uwu', 'hoping', 'easier']"
starbux_lover98,"['rach', 'kinda', 'understand', 'love', 'people', 'feel', 'get', 'anxiety', 'depression']"
elosisofficial,"['faithful', '1co', '1013', 'encounter', 'christians', 'periods', 'spiritual', 'focused', 'darkness', 'heavy', 'white', 'simple', 'drugs', 'realized', 'god', 'course', 'alcohol', 'black', 'joy', 'test', 'seem', 'experience', 'past', 'yes', 'youre', 'suffer', 'abuse', 'let', 'even', 'thing', 'depression']"
VlXSUNE,"['pssh', 'dwarf', 'grumpy', 'daddy', 'dampd', 'drow', 'imagine', 'half', 'problems', 'group', 'worst', 'disorder', 'mom', 'something', 'elf', 'like', 'anxiety', 'depression']"
mrbrownsays,"['ofsted', 'research', 'seems', 'open', 'seem', 'put', 'better', 'come', 'abuse']"
jlhcorley,"['sosuicidal', 'clergy', 'scandal', 'throttle', '2001', 'entered', 'church', 'illnesses', 'mentally', 'fell', 'forget', 'three', 'hah', 'different', 'ocd', 'clinical', 'suicidal', 'thoughts', 'full', 'first', 'ptsd', 'right', 'times', 'always', 'abuse', 'going', 'love', 'mental', 'wi', 'ill', 'dont', 'ive', 'depression', 'depre']"
errornest,"['stressors', 'scorpio', 'nicotine', 'born', 'spite', 'parents', 'winter', 'sorry', 'addiction', 'seasonal', 'season', 'also', 'life', 'dont', 'im', 'depression']"
ljhmyg,"['polish', 'sanitizer', 'btwn', 'sry', 'lavender', 'rehabilitation', 'farm', 'mask', 'nail', 'specific', 'triggered', 'abt', 'gal', 'hands', 'train', 'animal', 'buy', 'gay', 'news', 'gotta', 'tweets', 'fall', 'almost', 'face', 'ocd', 'found', 'coming', 'tired', 'home', 'tea', 'trying', 'bc', 'attack', 'ppl', 'hear', 'love', 'bts', 'talk', 'read', 'good', 'got', 'want', 'life', 'like', 'feel', 'depressed', 'get', 'ive', 'anxiety', 'go']"
Shmoozled,"['rebrand', 'uninstalled', 'overwatch', 'competitive', 'announcement', 'aide', 'training', 'waste', 'husband', 'games', 'angry', 'saved', 'father', 'decided', 'prevention', 'lives', 'young', 'date', 'couple', 'definitely', 'fear', 'kids', 'take', 'next', 'living', 'video', 'coming', 'done', 'play', 'stigma', 'struggle', 'big', 'stand', 'first', 'please', 'doesnt', 'cause', 'days', 'time', 'stress', 'health', 'much', 'mental', 'suicide', 'life', 'anxiety', 'co', 'im', 'depression']"
OhDionne,"['practicing', 'fixed', 'tools', 'handling', 'mindful', 'managed', 'paper', 'hasnt', 'exercise', 'regula', 'everything', 'made', 'means', 'comes', 'living', 'right', 'past', 'less', 'may', 'years', 'someone', 'les', 'going', 'therapy', 'cant', 'eat', 'depressed', 'im', 'depression']"
Jamodden,"['strenght', 'talinda', 'bennington', 'shinoda', 'removing', 'parks', 'linkin', 'mike', 'psa', 'awesome', 'appear', 'prevention', 'gave', 'important', 'light', 'found', 'stigma', 'around', 'fight', 'thats', 'health', 'talk', 'work', 'mental', 'suicide', 'depression']"
squidne_,"['forgave', 'manipulation', 'cheating', 'idc', 'enough', 'lying', 'etc', 'left', 'emotional', 'suicidal', 'lol', 'die', 'happy', 'person', 'someone', 'also', 'abuse', 'still', 'people', 'depressed', 'im']"
WynnEmalee,"['abortion', 'turmoil', 'daze', 'lizard', 'sluggish', 'description', 'trash', 'stands', 'affective', 'pregnant', 'accurate', 'damn', 'kicked', 'pills', 'loving', 'requ', 'woman', 'ended', 'seek', 'imagine', 'omg', 'cannot', 'weird', 'song', 'glad', 'lil', 'took', 'mood', 'havent', 'break', 'god', 'might', 'two', 'cry', 'makes', 'actually', 'addiction', 'seasonal', 'last', 'night', 'someone', 'well', 'good', 'man', 'know', 'get', 'im', 'one', 'anxiety', 'depression']"
haasanspeaks,"['arsenal', 'vines', 'charity', '2019', 'delete', 'playlist', 'diagnosis', 'ended', 'treatment', 'sign', 'week', 'cure', 'may', 'love', 'every', 'depression']"
dontcallmebooby,"['caused', 'medical', 'struggled', 'problems', 'major', 'eating', 'turn', 'stop', 'depression']"
ItsBritbytch,"['delivery', 'entirely', 'attitude', 'leaves', 'bd', 'waiting', 'tbh', 'baby', 'room', 'tf', 'wait', 'coming', 'said', 'bipolar', 'hope', 'back', 'stress', 'bad', 'want', 'feel', 'time', 'dont', 'depression']"
Tami_Bry,"['cytokine', 'infection', 'epidemic', 'catecholamine', 'modify', 'th2', 'effector', 'sequelae', 'gulf', 'infections', 'dyshydrotic', 'sinus', 'elaborate', 'lyme', 'disguised', 'veterans', 'th1', 'excerpt', 'soooooooo', 'mentioned', 'dismissed', 'storm', 'eczema', 'safely', 'malaria', 'combat', 'triggered', 'numbers', 'exposure', 'longterm', 'nurse', 'testing', 'undiagnosed', 'empathy', 'visible', 'technique', 'accepting', 'article', 'shift', 'sjs', 'provide', 'information', 'theyve', 'committing', 'solution', 'specific', 'ptsd', 'memories', 'escape', 'reality']"
steph6harts,"['acupuncture', 'breathing', 'worked', 'tough', 'recovery', 'share', 'story', 'sever', 'please', 'ptsd', 'hard', 'really', 'suffer', 'abuse', 'know', 'anxiety', 'depression']"
PRTWriter,"['southpark', 'anime', 'carry', 'crap', 'career', 'taught', 'answer', 'noti', 'clinical', 'might', 'gonna', 'great', 'stop', 'suicide', 'depression']"
tokyoonseok,"['copany', 'snow', 'filters', 'snapchat', 'zepeto', 'safe', 'disorders', 'uses', 'bts', 'major', 'thats', 'yall', 'also', 'stan', 'met', 'know', 'like', 'anxiety', 'depression']"
Funk_Iero,"['flares', 'choking', 'forced', 'telling', 'thinking', 'crippling', 'anything', 'eb', 'doesnt', 'hate', 'low', 'feel', 'help', 'time', 'like', 'anxiety', 'im', 'depression']"
LaylaElFan1,"['generalized', 'terrified', 'ruined', 'disorder', 'social', 'scared', 'death', 'cannot', 'normal', 'stuff', 'living', 'sick', 'fact', 'tired', 'struggle', 'child', 'fucking', 'since', 'yes', 'life', 'lot', 'well', 'going', 'anxiety', 'end', 'real', 'ever', 'ive', 'im', 'depression']"
lexivranick,"['priest', 'slasherhorror', 'allegory', 'improper', 'adventurous', 'department', 'stylist', 'accidentally', 'handling', 'color', 'church', 'a2', 'personally', 'hair', 'letting', 'turned', 'simple', 'holidays', 'mention', 'caused', 'pray', 'decide', 'job', 'story', 'lot', 'stigma', 'made', 'point', 'month', 'going', 'amp', 'may', 'today', 'say', 'stress', 'people', 'feel', 'ment', 'depressed', 'day', 'anxiety', 'de']"
Frankenstfu,"['miw', 'ghost', 'distract', 'career', 'album', 'best', 'better', 'something', 'make', 'depression']"
