Sibusiso_Mtambo, tonight pray every mental depression broken family jesus mighty name
for_meagan, day hour minute fightingformeagan depression ptsd therapy tbi suicidal bipolar  try see things new way fightingformeagan saturdaymorning saturdaymotivation bipolar ptsd  choose good people save life suicideprevention suicideawareness bipolar ptsd depression  wednesdaywisdom cannot give cant either toughtimes bipolar ptsd depression mentalillness bpd  day wake new beginning fightingformeagan wednesdaywisdom depression mentalillness  good talk stress im lot meagan suggested live moment shes great student  support team toxicpeople destroy read retweet suicideprevention suicideawareness bipolar  fridayfeeling today good day retweet fightingformeagan keeptalkingmh endthestigma  change thoughts positivethinking depression bipolar ptsd sicknotweak endthestigma  logan talked male friend saved life men boys please reach suicideprevention suicide  veteransday veteransday2018 dad special forces green beret vietnam war suffered ptsd neve  true im want talk fightingformeagan depression ptsd bipolar tbi  little advice positive thinking amp anxiety update life please retweet help others  take two meagans anxiety thru roof  anxiety thru roof  suicideprevention suicideawareness sicknotweak ptsd depression mentalillness bpd endthestigma  meagan update retweet keeptalkingmh sicknotweak ptsd depression mentalillness bpd endthestigma  solution toxic people empathy anxiety  live fightingformeagan mentalillness depression ptsd selfharm mentalhealth keeptalkingmh  could relationship family job take care mentalhealth ptsd depression  sometimes gotta say fuck keeptalkingmh endthestigma makechesterproud lpfamily tbi suicidal  ff fridayfeeling fridaymotivation enough beyourself people dont understand mentalillness  fridaymotivation ff dance fightingformeagan mentalhealth keeptalkingmh sicknotweak bipolar  life fight fight fight fightingformeagan endthestigma keeptalkingmh  question asking friend uses oil anxiety anxiety ptsd depression bipolar  bad day bipolar ptsd depression mentalillness bpd endthestigma sicknotweak  wednesdaywisdom wednesdaymotivation things retweeetplease fightingformeagan endthestigma
sadtendencies, ugly worthless wanted lonely sad suicidal depressed crying sh  depression feeling like youve lost something idea lost one day  shinee go suicide even year ago unicef ambassadors since 2010 donated  simple plan mvs fans lot succeeding depression song music save lifes  bts talk literally every issue find like beauty standards racism government amp police educa  ill never forget depression loneliness felt good bad time still  ive written suicide notes life ive written essays school today ive written last suicide note  depressed anything gets depressed never anything life mess  one mean one understands depression unless youve experienced  people think joking talk suicide find dead  commits suicide oh beautiful wed known whole life ahead  see problem society yet suicide youre freak attention seeking hoe go die one wou  strange feeling anxiety tells everyone hates depression tells one cares  thinking suicide right  mind 40 sad 30 tired 20 anxiety idc idk
Hannahcremer_, update therapy went well  therapy today havent stressed long time  depression showering times one night  bad things anxiety actually think crazy going crazy sometimes dereal  depression never bad  okay sleeping depression away night goodbye yall
Br00keMcCormick, yeah better really depressed today
Daisyville, incredibly psycho depressed suicidal fe  pretty damn correct determinative nicest way ive heard unspeakable trauma put
2030_Seamus, afraid nothing one severe depression isolated thanks con  struggling mentalhealth want people mentalhealthawareness sucidalthoughts  struggling mentalhealth want people mentalhealthawareness sucidalthoughts  know websites discuss mental health issues severely depressed pls follow back  cant depressed suicidal
wimpeafowl, feeling really depressed scouring internet spend money dont
PresidentAmelia, depressed napping desire  tips dealing work related anxiety supervisor bullying honestly made hard
arj1, even child see whats wrong criminalisation assisted suicide medicalisation suicide  imagine humane suicide system suicide professionals cant thats abundantly clear unrelentin  basis suicide laws nothing humane whats important monsters whats important  youre evil thats need die youre still evil thats assisted suicide crime dont let  think unlimited suffering care think assisted suicide crime criminalisation act  criminalisation assisted suicide bare blatant cruelty care could get something basic  suicide saves youre evil able care dont let truth escape  monsters like cant stop evil ruining life thoroughly suicide good perhaps
TheLostSkyBoy, depression loneliness social anxiety ptsd suicidal thoughts one lifes endless  thinking obout climate change humans species ever commit suicide destroying living environment  also take naps escape depression sleep much barely feel like im real reality  excuse spelling thread therapy session late time got couldnt talk  depression amp dreams  one goes sensitive creative black boys struggle life suffer depression
MellowD, alpha house residential rehab heroin addiction wa  thanks guys manic depression sometim
LeWolfCzU, dear multiple account abuse previous suspensions repeat  fact right mention multiple account abuse person has20 point
misukiart, liked video kda bts popstars amp mic drop ft gidle madison beer jaira burns amp steve
samsarver, feel better anxiety attack every night aint cuttin  fuck animal abuse tl thought facebook thing  look depressed ass bitch real tho end  lol ya luv anxiety quirky gives  keep waking worst anxiety feeling existential dread
soph_rafferty, anxiety come back hard jan lose appetite size pls
fancychae, bts de durur mu yapıştırmış cevabı
momiestefani, internets response hateful make trans youth depressed suic
FennelSpice, ay man let know ever need talk anything ive severe depression long
BiasedNerd, hello anxiety please let live today please dont make start worrying doubting friends  one fic chapters long hyungkyun depression making hard finish  work atm hyungkyun one ao3 half written stuff depression killi  also lets add wanted commit suicide literally energy even get  depressed binging penny dreadful probably go binge kdrama whatever  nothing says crying binging netflix depression thoughts thoughts back quote like ki  twitter next days comes monsta gonna make depressed yet us
rrnbncld, pota nakakamatay pala maging journalist daming threat suicide
ecstasysin, pain cant end depression made suicidal friend life hurtful bruises tired frustratedsad
EmilConrad, tired accused glamorizing suicide showed happens  134 depression also sad boi hour comes tru tunes golden album  depression looks like nicest voice  waitttt deal mu depression finally get happy  get depressed basically sums  something pulled depression quick second yes asmr minutes straight
_Loststarr, im still suffering fucking anxiety
_brittanysimone, many people suffer mental health problems whether depression anxiety suicidal thoughts etc kn  please say depression real
madamada_bot, good grief almost time group therapy saiharas trying pull names shinguujis sister  good grief almost time group therapy saiharas trying pull names shinguujis sister  good grief almost time group therapy saiharas trying pull names shinguujis sister
TracyBldwn, shawn mendes opened sexuality taylor swift text made panic anxiety buzzfeed
jen_ylagan, guess well try aba therapy next year really trial error  morning person na stress ako ngayon kung pano ako gigising ng 6am bukas
michaelreilly25, rebuilding addiction soberlife
LostWolfling, please watch movie tiny scene interrupts massage therapy gold
BebsCheshirecat, taking everything hate grandmother stress caused dad unwillingness show
shadowqueen2016, cough cough momokun using adhd excuse  put ive emotional abuse bullied enough take temporary break internet
dhernandeza321, found coffee new addiction
SjurMidttun, called suicide hotline 188 brazil second time guy practically asked kill brazil joke  called suicide hotline brazil depressing call ever call 188 suici
KilikaBlack, edge cliff leaving notes suicidal depressed suppose like dad wish never spoke ca
Colin_Dolan, battling depression every day ive couple okay days followed day worry fear could easi  depression never brought anything environmental always biological warning signs  battling depression every day ive couple okay days back yo back little sleep still som  find strength somehow beat depression mentalhealthmatters  battling depression every day certainly best either mentally physically looking forward ch  battling depression every day day 210 stressed take something back shop town pressure  battling depression every day day 210 amp still night rarely sleeping 20 mins  battling depression every day survived beaten suicidal thoughts 209 days tomorrow start  seven months severe depression also physical injuries really missing  experiencing depression dont try cope need support never afraid feel asha  battling depression every day finding strength carry every day despite mind telling  battling depression every day suffering since early may worry become suicidal  battling depression every day unable focus anything positive feeling lost mentally confused empty insi  battling depression every day couple days concentrating positives taken  believe make stronger able cope depression better ever hits certainly  surviving depression suicidal thoughts make stronger weaker person mentally  battling depression every day buzz yesterdays trip worn intend keep busy poss  battling depression every day good day today hope build upon gained battle long term  sound rather scary maybe wonder suffered depression bro  battling depression every day today travelled lads really opened  comments like one drives beat depression stronger mentally  battling depression every day woken feeling positive amp looking forward going along watch  struggling depression months suicide watch part onl  comments like push beat depression also speak openly mental ill health genera  giving beat depression  battling depression every day challenge every day find courage live every day fight  months latest bout depression think yesterday turned corner hopefully  post mental illness bipolar hope raising awareness educating certainly dont  battling depression every day fight goes hour hour day day thought took major step forward yerte  dont become suicide statistic talk someone anyone friend work colleague family member support wor  suicide survivor could easily one 6881 sadly took lives uk last  goodnight thanks everyone support survived another tough week fighting depression tomorrow  pain amp suffering years depression mania nothing ever helped escape like playi  battling depression every day spending much today convincing attend 5aside  battling depression every day day spent nothing watching tv couple hours playing messing aro  fighting depression like trying run quicksand  battling depression every day made plans go see football friends got ready late knee  battling depression every day one goal today get house visit lads footballtherapy mentalhealthawareness  battling depression every day yet another sleepless night really want get house today moment  christmas adverts nothing depression cant stand christmas best times  battling depression every day frustration builds lead anxiety even anger simply  battling depression every day feel like locking dark room forever cant talk anyone cant ev  battling depression every day feel like failure let everyone mentalhealthawareness  battling depression every day plans go visit lads amp couldnt bring get  fighting depression every day wake bad nights sleep want sleep yo  battling depression every day another wasted day spent bed cannot motivate anything whatsoever  battling bipolar every day depression state atm months cant see light feel times  immune depression  noone immune mental illness keep mind stigmatise someone mentalhealthawareness  battling depression every day mind moment living nightmare every single hour  battling depression every day wanted go nice gentle walk sadly injured knee holding  battling depression every day goals walk dark later today couch potato watching  battling depression months suicidal thoughts period st  facing dangers bipolar everyday survive win giving mentalhealthmatters  today continue battle depression get fresh air spend quality time  battling depression tried focus positive throughout day found getting tired  fighting depression one day time today better yesterday today better yesterday toda  hey depression fighting back im going win im giving  battling back depression today better yesterday today better yesterday today wi  fighting depression one day time roll tomorrow im ready take im giving mentalhealthmatters  cant wait til im back giving talks mental ill health amp wellbeing forgetting sharing  thanks mate taking things one day time least longer suicide watch anymore  twitter account lately become diary depression stretches back may time ive
wordygirl11, think valid concern ppl experienced suicide family statistically  two years ago lost daniel brother suicide knowing depth love
paddy_qualter, something seriously wrong rotherham council first ignore child abuse massive
TheAminaWright, fucking depressed god damn time created fucking misery always assholes wil  alcohol likes dumb stupid substance abuse mixed depression poor decision  everyone told trent go rehab drugsalcohol depression something wasnt right 10 years ag  aint duty take care psychologically damaged people refuse get therapy help
bIeachads, time counselor put suicide watch thread
emiliaboleyn, im pretty sure bpd going kill one day soon tbh means shit finally idgaf  contacted therapist help shitty mh thanks bpd youre babe replied saying  bpd fucking time  bpd fucking ruining life  aint nothing better fallen era evanescence concert mr alcohol depression hour hits
CUnderwoodUK, therapy well done courage talk easy  people add stigma mental health realise making harder themsel  anxiety flawless logic  yeah get feel like bpd adhd body dysmoprhia etc increasingly common  last year studied psychology noticed students knew depression anxiety oc  im going apologise cuz know ive twitter lately think mix stress
RussPurdie, ust one commits suicide leaves children behind without massive reason  commit suicide leave wife children one hell big decision  think alleged done valid reason commit suicide must mo
pvttersjedi, need keep mouth shut anxiety bad hehehee
treyj_miller, suicide never rational due existence inate live one decid  think person needs scholarly article prove suicide isnt rational suicidal thoughts  disagree think suicide rational think suicidal thoughts permanent think pe  three incorrect suicide rational suicidal thoughts never perman  dogmatism isnt exclusive religion spent hours ranting suicide rational suicidal
MikiTakesPhotos, thanks checking im still hospital depression today doctor said plans  know havent posted much recently ive psych ward depression past days  relatable depression anxiety  selfportraits insomnia unshowered chain smoking chamomile tea depressionisreal mentalhealthmatters  dont write struggles mentalhealth get sympathy write want others know  years ago released psych ward major depression amp strong suicidal ideations  oh dis mentalhealth fuck  depressed fuck feeling like death sick fuck really bad combination sayin  brain becomes mush im really depressed mush dont even know thats correct word descri  dead inside dead outside bojack relatable depression  thread taking thoughts inside depressed anxious mind livetweeting within  anxiety grows imagine humans outside walking around talking friends may  running ink running hope depression poetry  roiling pain tip hair bottom feet depression mentalhealthawareness  learned quickly depression passive lethargic state far might seem way  recovering long bout 3ish yrs major depression means getting tired quickly traveling going  makes question whether want live even know deep love life depression lies  depression makes feel like youre failure despite accomplishments made continue make
Weaklymelon, ive suffered depression well really terrible thing wish things could  yeah depression people actually makes people tired  yeah real depressed past afraid say stuff cause didnt want bother
Suicidal_Buddha, way commit suicide part psychology take parts hard codin  really need new addiction buddhism philosophy zen universe suffering generalnote rant  debating suicide
assistitomon, irita bit hate hindi pure sadness thats wonder depression whatnot
timomuvuz3, punish crimes earlier real causes full criminals impoverished drug abuse sexual exploitation
reginecahanding, suicidal depressed anxiety still alive asked god image ive seen wa
razonablemoniq, people reached introduced ways help stress sadness  friends called called names etci depressed ive always experienced sl  ever since kid already anxiety sucked sucks ruined childhood ive always think th  feel bad feeling sad problematic depressed etc im going right lot people  suicide isnt answer youll get whatever problem maybe soon iloveyou lot ppl
playingamanda, sorry realised melbourne lifeline 13 11 44 suicide line 1300 651 251  dramatherapy gentle darwin breeze morning love working outdoors therapy isnt room
RogerBlazic, brlliant protect mentalhealth  addiction running wild crazy ride destroying humans read piece mentalhealthawareness  dont need freakin lines mentalhealthmatters  great video something many need see mentalhealthmatters  remember days depression marijuana neil young  tell im getting old im walking around fly stand back theres nothing see mentalhealthmatters  friday mentalhealth take yer meds mentalhealthmatters  best people talk listen mentalhealth consumers get  great article nailed abuse creates scars last heard scars permanent  lack knowledge means dont understand hence wisdom endthestigma  hva come ti california go legoland lego mentalhealthmatters sell clothes repost link  anyone addiction dopesick nation lived life crack like home movie yr  kate treatment plan meds therapy meditation  love attitude mentalhealthmatters  true friends mentalhealth consumers dont explain get  entertain suicide option youre severe pain despair selfloathing ugly anyone  check blog post suicide million people read  mentalhealth friends use hashtag mentalhealthmatters triple tweets  old joke time want die sleep like uncle yelling screaming like passengers car mentalhealth  mental health half minute mentalhealth  im proud blog im trying stopsuicide several years ago wrote post bl  would rather gay mental illness lotsof pain stigma struggle decision  take garbage yeah two people fucking mentalhealth  ecactly wjat said saved thousands lives one post painless suicide  buy aidens clothes sales help mentalhealth needs  matter bad anxiety panic attack cannot die panic attack might feel like may  alzheimers death sentence cure reversal new treatments purported slow progress  hardest part mother alzheimers day looked saidwho changed  hey im list read tweets see qualify mentalhealth bipolar anxiety addiction alz  deeliza lived dark road mentalhealth addiction took long time im enjoying  decades alcohol addiction 55 years mentalhealth issues 13 yrs sobriety yrs peaceful recovery sa  gary disagree majority us people mentalhealth issues us addiction histories suffer  everyone thinks ok talk depression arent im recovery  yeah shame enough people understand mentalhealth dog got sick could call  want get ball rolling endthestigma retweet mh tweets dont like spend half  mentalhealth filled pain suffering tears isolation despair physical pain rejection mocking wh
I_Shah15, cut toxicity abuse
todorokissjoon, iconic tbh fisrt heard bts hoseoks parts memorable  bts legends always  good morning bts  good night armys bts  favorite bts jpn song  congratulations bts winning artist year 2018 asia artist awards  bts fab group  hi miss bts  selling bts bookmarks unofficial merch ones gonna bulk buy namjoon bookmarks im gonna fcckn  im fuckin grateful bts  bts nation hoseoks vocals snapped  bts nation soooo goood im screamingggg  bts nation  go go go bts  legend behavior bts behavior
Aiden_NV, small simple things really need right friend talk someone hug mentalhealthawareness
sadqueerjpg, even gonna lie week ate shin ramen ice cream plantain chips ya know depression  wild thing ptsd actively crying post panic attack dissociationing crying
ummmrita, theres something called thought broadcast clear symptom schizophrenia seemed real time  schizophrenia meds continuing fine dont want relapse  long session shrink ssris depression meds altogether also understood gender
zivankaaaa, get service pet anxiety need one omg  gonna cry eating rice cakes im depressed toes cold  im super fucking anxious cant take anxiety meds bc energized work im drinking coffee  song gotten countless anxiety attacks  needs therapy drunk online shopping
PaulDSmith13, lets see fighting ptsd presumption legislation two provinces ottawa actually act health care violen  bad advice someone ptsd btw  seriously suicidal depression ptsd helped get cute ver  doesnt matter hard someone works ptsd like health challenge bad days happen  ptsd presumption legislation safe staffing thewayforward
vn_potty, dbs der tolootsell temple property employ partygoons work hindus abuse great
HusamBalushi, hate started saying want commit suicide lot bored especially around people
wormsona, literally knows sexual abuse content triggers fic warning contains graphic scenes sexual  idk adhd meds theyre rlly vivid dreams
ThaPyceez, thank god everyday peace mind hes blessed coming severe anxiety depression constant  yup one fatal flaws learn control bc cause self sabotage also fucks anxiety
SadPeach11, im sad wish courage commit suicide  broke gave thoughts cut isnt considered addiction  started senior year highschool today hope doesnt make even depressed im already havin
mdpride13, nine fucking years old whole fucking life live thought suicide option beca  quit depressed wow cured depression thanks girlie im longer sad wanna fuck sun use fl  good morning everyone fuck sea world fuck zoo fuck circus animal abuse
hectorg1931, contacted twitter support threatening suicide rose never joke  rose please listen threatening suicide liable contact twitter personnel
_nrmsh, work anxiety hitting hard rn done zero work weekend due feverflu gahhhhhhh
essemtee, oh fucking god cured depression  pulled death card future placement tarot reading waiting phone call la giving even anxiety  new bio anxiety attacks immediately sex  dishwashers made depressed people  period depressed work morning still want late night text someone dont care validation  order two 16 pizzas 22 bucks thats depression  spent last 24 hrs stopping friend committing suicide ill drinking whole bottle wine  crying keshas praying whitegirlshit also ave express abuse endured months agodunno therapy anymore
HowAboutBeth, aw thanks samantha like environment amp every department sans physio amp occupational therapy
YungHungLINK, shit like stings especially violent bipolar depression hate gg see ya
ihatemylife9148, hi dwayne sorry disturbing im young guy battling severe depression im  talk suicide day every day thoughts  please take minute visit go fund page share im depressed male im trying sor  please take minute visit go fund page im depressed male im trying sort self  please take minute visit go fund page im depressed male im trying sort self  please take minute visit go fund page im depressed male im trying sort self  please take minute visit go fund page im depressed male trying get life back track  brother please dm im brother whose mental break walahi im contemplating suicide im rock bottom
ohheyymama, sounds weird stress induced seizures sometimes people dont even notice im  jk anxiety kill tomorrow ill one like hour enough people actually want one feel ba  idk im turning back depressed pos cried sleep couch last night cried dr
youssef_tarek12, depression feat isolation time
onelastkick71, feel like failure lost online friend last night died depression suicide forever  bpd  waited months dismissed bpd  newspaper interview 230 anxiety building second sicknotweak
Efo_Etor, fake people sorrrr make take depression go talk self righteous judging human anka matete  meanwhile ein pinned tweet say get depression feeling suicidal ah make come talk
CDarieal, im back therapy first time ten years every thursday feeling suicidal yesterday  im able pay todays therapy tomorrow im going owe 80 instead 10 cant afford  things wit depression befeel impossible usually start small section first like  looking make 10 copay therapy tomorrow rts appreciated well  shit speaking therapy copay 10 anyone couple bucks spare venmo cdarieal  im grateful therapy tomorrow need talk families supportworshipdenial abusive bro  get fired tried asking time take care mental health anxiety depression  employee cant let pass cant health wellbeing suffered worked hard
Wawataik1, decided first tweet would reality today struggle live oldish struggle depression
Tomuraapologist, bts sticking hands crowd brave cause man id scared id lose limb  locking account little bit cause real depression hours wow mood drops dad
Wet_Uncle, yet game companies abuse eg achievements affect people ocd wtf
oshdere, anxiety whenever someone dms
99PercentDark, would love write full time right work day job overtime work stress
MazzottaShawna, hun stress wouldnt read much
RlFFDADDY, highkey depressed im missing seeing fav bands bc currently poor buy ticket time die
ArchieBrave, wims method massively undersold stress reliever way
gdtoogood, serious issues bounced back start crazysocks4docs also break stigma workin  aus drs aus highest professions jobs higher suicide
Cristin_E, discussing therapy last night addition regular daily struggle want live  gonna discuss doesnt surprise given case ptsd originating childhood trauma exte
psychosis_child, anxiety isnt great atm seem ok psychosis wise plz stay way  phd psychology looking visual perception hopefully diagnosis become clear would like
renae_daniels, boys stress alyssa  idk became goto depressed people work im bout start group therapy sess everyone
david_brown_sr, insomnia depression suicidal thoughts life
khaleed867, sad lonely hurt upset alone depressed suicidal angry shouting giving empty worthless misunderstood incapabl
infiniterain, end wasnt even fucking hard get ass actually depression brain  haha figured thats mainly anxiety talking worrying nothing thanks tho love ge
jasoncherkis, want learn story suicide prevention reddit ama
StarladyStreams, admit happy spoiled suffer suicidal depression
pharcydeKG, seeing sabonis jersey dats okc makes depressed
suicidal_ien, tøp amp bts
ficcleheart, fuck anxiety  anxiety winning today im  im fucking depressed cant even sleep lmao fckmylife
danielskhadijah, look world get discouraged many people depressed suicidal illbut think
studioanisa, wish money spend things usually wouldnt depression like extra lives mobile game  honestly company potential collaborator see tweets bout depression thinks sign reason  sometimes enough say reach slap suicide hotline tweet people arent actu  cw depression amp therapy aight wanna transparent internet shit twitter weird flex fe
JoelSymonds999, know trauma patients traumanaked freezing dreich winter lying naked skin
Black_Seed, yes stressful workplace lead depression amp anxiety pressure leader confli  appreciated concern due suicide awareness idea way  know suicide suicide survivor people need know suicidal people  thank much encouraging way schizophrenia  although schizophrenia dreams becoming professional translator interpreter lecturer tea  medication depression amp schizophrenia risperidone clozapine trihexyphenidyl haloperidol  dont know mental illness schizophrenia amp depression google find internet ask  think cure depression major depressive disorder tried many medications far absolut  schizophrenia  tired living like many years suicide answer however cant stand like  right commoners need learn empathy toward mental illness people say depression  best suggest people schizophrenia paranoid amp depressionmood swing trying read least book es  im schizophrenia survivor face death many times unfortunately havent dead yet im missing dead like  dr depressed sometimes paranoid one circumstance great  paranoid ocd bad ideas disturbing mindshell yeah
Servalan73Ruth, oh lord true ive said talk time suicide  solidarity alex abuse misgendering facing revolting outs critics
JacobPeoplee, someone counselling class said thats bit ocd stupid kept quiet ocd serious illness  referral musculoskeletal specialist high possibility small stress fracture ankles day  woken feeling incredibly anxious depressed today going day  sandy igving reassurance someone anxiety disorder didnt need hear  ive met nick times real life walk raise money suicide  time suicidal depressed even care honest dont want create fus  unfair dismissal disclosing depression needing day second ever job boss  poetry like form therapy incredibly proud one wrote today internationalmensday  wrote inspiration yesterdays m4mh iamwhole suicideprevention
neurochicken, depression etc disorder limping hurt leg disorder imagine tryi
laurensthrone, hate seeing people hurt suicide still want die  still depressed suicidal thought regularly im surprised im still go
pipwhistleblow, 60 alzheimers 30 bedridden waiting hip operation doddery th  thankyou saying lt3 anxiety pain ass depression anxiety together bit autism  alzheimers  correlation suicide rate astrological path anus dont shutup  theres shocking alt right propaganda cod psychology shit thread
mommyisstoned, hey honey thank checking ptsd panic attack dispensary medicated  dispensary long lines medicated blinding headache anxiety wait medication witho  went suicidal depression  guess cannabiscommunity touch toes take mmj ptsd ibd never thought
NehalElsayyad, sad lonely hurt upset alone depressed suicidal angry shouting giving empty worthless misunderstood incapabl
Joey_Redballs, would trade passing flu eternal depression day
Rene71741508, one anxiety attack constantly alot  baby girl relax stress good currently child stress harm child  suicide isnt laughing matter  suicide laughing matter
thomas4th, big depression mood hey heard 80s synthpop cover band depress mood
yourfavEgyptian, cant stress enough
MattyBodies, somebody dies yall depression kick yeah know depression real harmful bu
potatymn, longer depressed tell edibles got really high walked around bought smoking supplies  lol ill take substance abuse issues ptsd crippling mood disorder tyvm
imsrymsjackson_, 17hr depression sleep dream everyone around telling much hated awesome  17 hr depression sleep bad  week mental health drug addiction next week people back know drugs bad  scariest thing depression struggling mental health often masked smiles laughs
makaylan29, god uses broken things broken people depressed suicidal misfits outcast lonely murderers thieves  longer slave depression suicidal thoughts anxiety drug use child god  sometimes think depressed suicidal used fulfilling emptiness brokenness
