hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
thomnook, depression sucks im thick feels like every tiny interaction intentional ac
thomnook, depression really came today like bitch relax
Nizzy_RS, sacrificed mentalemotional wellbeing years im still suffering consequences
_zackkw, depression nap time bc people dont sense need get away bullshit
SimplyComplexx_, mfs want anxiety depression sitting closet hiding life really hate mine
AsabeaArreaga, didnt know going asked anxiety depression
SIDE__GRAY, im sorry followers ive ever bitch reason act like cuz depression makes
SIDE__GRAY, thought yea im really nice person cuz depression im ass times
SIDE__GRAY, honestly im like sad depressed time nooooooo jess made worse
SIDE__GRAY, um anyone want dm sad depressed bitch
mvlktea, mom always said everyone would hate would scared found depression anxiety
mvlktea, today opened depression social anxiety older sister talked problems
SelestedeLaney, surprises anyone havent paying attention teens life suffer depression
all_2crazed, would rather mother depressed child push away mother take day two
all_2crazed, ton pregnant friends recently one things weve discussing depression
all_2crazed, waiting roasts asking therapy
TSR_Centurus, ive fighting lot depression long time
TSR_Centurus, hate holiday season much depression
RagingClaw, thread life read dont know explain struggles depression suicidal thou
RagingClaw, talk gambling addiction late
TheLizLincoln, missa diagnosed right 2nd grade nephew clearly adhd diagnosed
ugw90s, id anything naturally skinny deal ed depression literally id anything
ugw90s, minding business depression decided remind exists
ugw90s, im depressed urges bp overwhelming hate fucking much
ugw90s, im jealous people whove never experience depression eating disorder generally
ugw90s, googled bpd symptoms fit like kinda makes lot sense im also terrified diagnosed fuck
ugw90s, literally depressed bc im restricting working still cant seem drop weight idk
ugw90s, need stop weighing every single day making depressed triggers much cant help
ugw90s, im really sick letting depression control im gonna try best get work done de
ugw90s, kind days favourite especially long periods depressed unproductive
toewgmo, im lik depression hungry thats rly fuckin ke bc lot woek weekend die
vedikaissaarmyy, love bangtan short essay vedika bangtan sonyeodan bts years ago would
vedikaissaarmyy, 2000 days guys made bts made
vedikaissaarmyy, everyone welp bts expectations award show also going oof
vedikaissaarmyy, hi im vedika fav bts pic
vedikaissaarmyy, forever support bts bts life forever army
josephinejaye1, dont think people realize much strength takes pull depression anxiety panic atta
Enerrgizer, amount cringe wild games always top depression team brings
akemicario, denied short term long term disability insurance chronic depression anxiety im
Thatsnotnice4, suffer depression anxiety psychosis one point thats control
bellaaaaaaaa622, frickkkk still depression bc yall braking yall get back together
britboisammy, depressed bart simpson
ThiccPop, stroke genius decided short circuit seasonal depression becoming twilight fan enamori
sassquill, ive essentially booted house moms depression hours idea lol
JennCharlotte, want weighted blanket anxiety instead always drinking night calm price gives inc
JennCharlotte, okay brand use anxiety crazy cbd tinctures list try
JennCharlotte, fritz left speech evaluation starting therapy end month one session
Mark_E_Marxist, quit still cant sleep without hours anxiety inner monologue hand
Mark_E_Marxist, still got ptsd second renaissance
Mark_E_Marxist, many pts wales get
Mark_E_Marxist, way deal depression
JuniperTheSloth, different youre saying trans people still depressed
tinylightball, like someone took depression sprinkled sugar infused commercialization mu
tinylightball, cheaper therapy
jonbecker_, push crippling depression right bed pointless crap
purrmaidx, prepared emo depression shower found playlist party starters depress
SirEviscerate, john lennon christmas done get back john got depression
SirEviscerate, oh already anxiety
ChaseChoi8, thanks broaching subject talking depression wellmeaning friends often mak
ChaseChoi8, reading lemortedarthur yeah kind surprised ive never read think put trauma
SabrinaCNeff2, feel sorry katy went depression common go depression
chillcolfer2, really best news hate admit weeks depression taking care
chillcolfer2, needed content bad smile glasses general soothes away depression bei
chillcolfer2, hate crippling depression
lsntHeIovely, struggle depression watch videos give decent advice
TheNerdyRocker, im going really great productive sunday depression
TheNerdyRocker, clarify yes therapy session
TheNerdyRocker, therapy session coworker day
Jewelrese, dont think exists yall antisocial introversion amp depression suburban qualities
Jewelrese, point person grew hood thats antisocial introverted depression dont say chief keef bc hes extroverted
Jewelrese, find suburbs even find depression suburbs never found depression hoods
Jewelrese, going predominantly black neighborhoods gives anxiety bc black ppl always talk blacks dont allow antisocial
Jewelrese, im certain female friends wonder always crib amp nvr get invite depression
Jewelrese, honestly isolate ppl friends prolly think im flake niggas prolly think got niga thats depression
Jewelrese, freaky depression fuck bad took one dosage amp see clearly
Styla73, moved netherlands uk whole lot stress lost money betw
kebles, 10 years ago millennial depression playing many video games even energy play video games good day
kebles, im poorly cover stoicism irony xdddddd seriously help worldmentalhealthday
smurff32896, person shouldnt allowed uterus seasonal depression wtf want refund
smurff32896, shit triggers anxiety really doesnt make sense
smurff32896, irrational fears causing major anxiety morning great past time
smurff32896, wow havent anxiety bad fucking sucks fuck invented anxiety sue
CryPain99, random tweet changing crystal pain crystal payne windows im sad depressed
CryPain99, omg omg omg omg omg omg pts yaaaassssss
CryPain99, look got mail getting really brighten day im sad depressed
Melomanebird2, 12 hours sleep vivid dreams feel quite low anxious today sure spend day ptsd cptsd
Melomanebird2, complex ptsd child abuse grooming sexual abuse domestic abuse narcasists
Melomanebird2, weird im watching vampire diaries stefan ptsd even vampires suffer vampirediaries ptsd stefan
Melomanebird2, sorry ptsd also right anchor life minute hope find strength everyday
Melomanebird2, ptsd spend christmas alone year family leave friends
Melomanebird2, good video ptsd ptsd cptsd mentalhealth mentalhealthawareness
Melomanebird2, dad ptsd
Melomanebird2, 14 hours sleep feeling bit better positive today ptsd cptsd mentalhealth mentalhealthawareness sleep
Melomanebird2, ptsd repeated trauma suffer different ways everyday today angry
Melomanebird2, pizza corona pizza fridayfeeling corona ptsd cptsd mentalhealth
Melomanebird2, feeling bit better positive selfie girlsbreakingbarriers mentalhealth snapchat womenontheverge
Melomanebird2, moved day fridayfeeling fridaythoughts ptsd cptsd anxiety depression selfie snugs snuggleup
Melomanebird2, really cant bothered today ptsd cptsd mentalhealth mentalhealthawareness depression
Melomanebird2, thursday club selfie thursdaythoughts thursdaymotivation snapchat filter ptsd cptsd stopthepressure
Melomanebird2, lovely walk fields horses cptsd ptsd walk horses breathing calm sun relax mentalhealth
Melomanebird2, right gunna stick tunes cleaning thursdaymotivation ptsd cptsd mentalhealth mentalhealthawareness davidgrey
Melomanebird2, massive pressure anxiety shakes fit get psychotic wired usually end dri
Melomanebird2, downloaded medication app phone help take tablets time everyday ptsd cptsd
Melomanebird2, life changing documentary ptsd cptsd
Melomanebird2, feeling ok nice steak pie got heating gunna watch netflix netflix ptsd cptsd recovery mentalhealth
Melomanebird2, exercised cleanedwashingyogafreshbedding still feeling hypo alert gunna crack open ptsd cptsd mentalhealth
Melomanebird2, sorry hear dont like hearing giving committed suicide months ago
Melomanebird2, tried managed 15 mins became irritable defensive practice ptsd yoga
arthao_o, yes big sad disorder doctor maam say depression
arthao_o, sounds like something anxiety wouldnt say
arthao_o, anxiety
arthao_o, one make show like bts wgat fuckkkd
tsumitanagayuki, lrt wild fact happened depression
TheSassMaster16, hi sacred eaten today drank water depression kicking ass
It_Is_Shellie, im medications high anxiety massive depression ptsd several treatments
It_Is_Shellie, words ptsd affects come meet women abusetalk live trauma well
It_Is_Shellie, large extremely large groups people create anxiety rise point leave specific events
It_Is_Shellie, continuing struggle living ptsd massive depression anxiety days worse others fortunately
It_Is_Shellie, letting others life always extremely difficult since abuse emotionally still fi
It_Is_Shellie, treated ptsd yet never diagnosed im medication looked jobs relat
It_Is_Shellie, ptsd ptsdsymptoms mentalhealth lifewithptsd ptsdinwomen ptsdawareness mentalillness supportwomen
It_Is_Shellie, testimonialmonday different world daily living mentalillness struggle heart mind
It_Is_Shellie, people ive met days get looks judgement tell live high anxiety amp massive depr
It_Is_Shellie, life living ptsd let say isnt roses shelliepalmer
It_Is_Shellie, would wonderful magic potion get rid anxiety massive depression amp ptsd physical
It_Is_Shellie, already playlist taria music nature writing therapy
It_Is_Shellie, blogging journey high gad mdd ptsd way even proactive mental
It_Is_Shellie, triggers disrupting living mentalillness included reason
It_Is_Shellie, new zealand adds warning astarisborn due triggers cause suicidal thoughts mentalhealth
It_Is_Shellie, yes woman living breathing human living ptsd struggle daily yet wont let hinder al
It_Is_Shellie, mental well emotional abuse caused ptsd due online relationshipimposter
It_Is_Shellie, began truly open diagnosis high functioning gad massive depression ptsd theres se
It_Is_Shellie, hospitalized past august sucidial ideation treated ptsd medication
It_Is_Shellie, rain days makes depression worse others ugh
Taniaferguson, omg first book collection poems overcoming depression available amazon worldwide
Taniaferguson, senseless depression feels invisibile many real anymore bu
Taniaferguson, restored sight lost depression ones know wonderfully scary
AllLightsOnUs, wanna dig camera roll depression cause cant stop laughing
heartofalderaan, think sister well though also depression general aggravated time year
heartofalderaan, discussion dr yesterday seasonal affective disorder aggravates depression symptoms
heartofalderaan, good day days like wish still felt like capable writer always like therapy
JulitaSerna, type depression real momlife realmom depressionisreal iwanttorunaway postpartum hav
mallorydelage, years ago today went first one direction concert raven still post concert depression
audjj8, ever said much love depression
Meandmymhmatter, selfcaresunday selfcare done today ive nap mentalhealth mentalillness bpd
Meandmymhmatter, mentalhealth mentalillness bpd depression anxiety psychosis talkmh mentalhealthawareness mhbloggers
Meandmymhmatter, day 12 gratitude30 wisdom sometimes wisest thing say nothing mentalhealth
Meandmymhmatter, new blog post check link bio pinned tweet mentalhealth mentalillness bpd depression anxiety
Meandmymhmatter, new blog post self harm insiders perspective via mentalhealth
Meandmymhmatter, day 11 gratitude30 gift biggest gift give others time mentalhealth mentalillness bpd
Meandmymhmatter, bpd killing ripping apart im trying use dbt skills im failing hard
Meandmymhmatter, im struggling need hug mentalhealth mentalillness bpd depression anxiety psychosis talkmh
Meandmymhmatter, day 10 gratitude30 music music helps lot mentalhealth mentalillness bpd depression anxiety
Meandmymhmatter, day 778 365daysofselfcare going therapy talking care coordinator
Meandmymhmatter, hey im jo blog mentalhealth bloghour
Meandmymhmatter, seen new blog post day life via mentalhealth
Meandmymhmatter, dealing bpd
Meandmymhmatter, new blog post day life mentalhealth mentalillness bpd depression anxiety psychosis talkmh
Meandmymhmatter, therapy care coordinator afternoon difficult conversation cc ive refused crisis team recommendation
Meandmymhmatter, new blog post day life via mentalhealth mentalillness bpd
Meandmymhmatter, mentalhealth mentalillness bpd depression anxiety psychosis talkmh mentalhealthawareness mhbloggers
Meandmymhmatter, good article minus derision bpd us real illness effects daily
Meandmymhmatter, day gratitude30 memories another quote drseuss mentalhealth mentalillness bpd
Meandmymhmatter, today selfcaresunday selfcare done today couple walks mentalhealth
Meandmymhmatter, check post anxiety panicattacks
Meandmymhmatter, tooth broke due mentalillness struggle brush teeth feel unworthy
Meandmymhmatter, cat therapy homework well cant cats caturday dbt bpd
Meandmymhmatter, want make documentary bpd ideas approach
Meandmymhmatter, explains lot mentalhealth mentalillness bpd depression anxiety psychosis talkmh
Meandmymhmatter, quote wonderful could mental illness mentalhealth mentalillness bpd
Meandmymhmatter, day gratitude30 colour doesnt love rainbow mentalhealth mentalillness
Meandmymhmatter, get people send books bookbloggers mentalhealth mentalillness books
Meandmymhmatter, anyone else 29 ways people borderline personality disorder selfsabotage bpd
Meandmymhmatter, day gratitude30 love quote winnie pooh perfect mentalhealth
Meandmymhmatter, break blogging continues please read pst taking break important mentalhealth
Meandmymhmatter, day 771 365daysofselfcare going therapy open
Meandmymhmatter, hi im jo blog mentalhealth bloghour
Meandmymhmatter, therapy today cried front group hate dbt bpd
ThisAsaudi, depression like cancer made stay strong dont believe say idea
Becci_Coop, depression illness choice feeling drained despite anything able sl
Becci_Coop, telling people mental illness choose mentally ill depression choice apparently oh
Becci_Coop, im measuring anyones trauma would guy posting ignorant stuf
Becci_Coop, sadness may choice depression illness say something ignorant hav
jussyc123, think depression im dead inside dont even emotion towards anymore
nowinunit, serious depression
nowinunit, isthe sun actual sun im depressed
nowinunit, feeling little insecure cos chenles outsinging bts since
bangtan_sunsets, bts music made happy without depression would much worse lis
bangtan_sunsets, whos streaming epiphany bts jin
bangtan_sunsets, really needed hear ty sm told mom last night think depression
bangtan_sunsets, time mma starting mma2018 bts
sabirShinwarie, depression anxiety took medicines years took weight 85 115
sabirShinwarie, stuff letting suicide wise dunya main sirf aur airf munafiqat aur nafrat baqqi reh gae hain
sabirShinwarie, trust dear days going huge stress business collapse still
kwoosoft, strong semi concert depression since like february want see rose
kwoosoft, depression tastes like cheap ramen plastic cup seedy coke without fizz okay cause fortun
A2Pirana, saw therapy expensive know agencies take
A2Pirana, love im retired rn years depression life parents undiag
HandsomeSanders, im aware change back go depression wether want
HandsomeSanders, depression didnt care staying room leaving virgil knock
HandsomeSanders, virgil could see tue door would probably see depression giving finger uwu hes ju
HandsomeSanders, depression looked unamused ғɪʀsᴛ ᴏғ ᴀʟʟ ɪᴛ ʟᴏᴏᴋs ʟɪᴋᴇ ʏᴏᴜʀᴇ ʜᴜʀᴛɪɴɢ ᴇɴᴏᴜɢʜ ᴀɴᴅ ᴡʜʏ
HandsomeSanders, depression opened door quickly expecting see roman least virgil roman nope
HandsomeSanders, depression anything point wanted beat living shit virgil
HandsomeSanders, depression doubled pain letting go roman trying get situated took deep
HandsomeSanders, depression hed going manipulated growled grabbed roman keepin
HandsomeSanders, ᴅᴏᴇsɴᴛ ɪᴛ roman watching floor trying listen hoping depression woul
HandsomeSanders, opened depression stared unhappybored expression ᴡʜᴀᴛ ᴅᴏ ʏᴏᴜ ᴡᴀɴᴛ ᴀɴxɪᴇᴛʏ
HandsomeSanders, depression stopped heard scream turning towards romans room curiously demanded roma
HandsomeSanders, depression accepted quickly since roman way easier manipulate took away room
HandsomeSanders, im sorry love virgil depression could come roman quickly took virgil kin
HandsomeSanders, roman let big sigh relief hes dead mmaybe ten minutes depression came
HandsomeSanders, roman didnt even realize depression left picking virgil laying bed took virg
starbux_lover98, love rach kinda understand feel depression anxiety people get
elosisofficial, depression simple black white thing 1co 1013 god faithful let test
elosisofficial, yes course heavy past drugs alcohol abuse youre
elosisofficial, even faithful focused christians encounter periods depression spiritual darkness joy seem
elosisofficial, suffer depression realized experience god
VlXSUNE, pssh like depression something
VlXSUNE, worst dampd group imagine grumpy mom dwarf daddy problems half elf anxiety disorder drow
mrbrownsays, come ofsted better research seem open abuse seems put
jlhcorley, dont forget mentally ill three different mental illnesses ocd ptsd clinical depre
jlhcorley, ive times always suicidal thoughts depression sosuicidal depression hah
jlhcorley, entered church 2001 right first clergy abuse scandal going full throttle fell love wi
errornest, dont winter seasonal depression scorpio season depression
errornest, addiction nicotine born stressors life also spite parents im sorry
ljhmyg, almost anxiety attack train coming home ive got lavender face mask tea nail polish read go
ljhmyg, want hear like specific ppl talk abt bts bc im tired
ljhmyg, good news found sanitizer gotta love ocd triggered feel like hands fall
ljhmyg, sry get depressed btwn gay tweets im gal trying buy animal rehabilitation farm love life
Shmoozled, decided rebrand struggle anxiety depression im done living fear
Shmoozled, play competitive video games definitely doesnt cause stress
Shmoozled, uninstalled overwatch much stress life husband father waste time angry young kids
Shmoozled, saved lives date suicide prevention training first aide please take time take co
Shmoozled, big announcement coming next couple days time take stand mental health stigma
OhDionne, going therapy past years practicing mindful living hasnt made less depressed made les
OhDionne, depression cant fixed managed everything right means tools may
OhDionne, im someone paper everything right comes handling depression exercise eat regula
Jamodden, strenght found light work depression gave strenght fight
Jamodden, talinda bennington linkin parks mike shinoda appear suicide prevention psa
Jamodden, thats awesome mental health important talk removing stigma around
squidne_, forgave someone lying cheating emotional abuse manipulation etc person still left people
squidne_, im happy enough im suicidal also depressed enough idc die lol
WynnEmalee, song actually makes cry accurate description loving someone depression
WynnEmalee, last two pills took havent kicked one night stands addiction
WynnEmalee, man cannot get pregnant seek abortion imagine anxiety turmoil woman might
WynnEmalee, omg im good mood im glad lil break depression ended weird daze
WynnEmalee, seasonal affective depression trash know damn well im sluggish im god damn lizard requ
haasanspeaks, arsenal every week may delete vines cure depression playlist love
haasanspeaks, diagnosis charity week ended depression treatment sign 2019
dontcallmebooby, struggled medical problems caused major depression turn caused stop eating
ItsBritbytch, feel depression coming back hope leaves entirely
ItsBritbytch, dont time bipolar attitude
ItsBritbytch, bd said want tbh stress tf stress baby bad delivery wait waiting room
Tami_Bry, empathy combat veterans ptsd im really tired va treated ive lost
Tami_Bry, catecholamine rush triggered trauma may also modify th1 th2 shift cytokine effector
Tami_Bry, ptsd excerpt article would also benefit specific short longterm sequelae tha
Tami_Bry, suicidal turned alcohol drugs combat see gulf war illness ptsd
Tami_Bry, heres sjs diagnosis piece nurse dismissed cytokine storm anxiety mentioned
Tami_Bry, infections triggered trauma start testing yo
Tami_Bry, theyve got soooooooo wrong thats still committing suicide daily mass numbers plain si
Tami_Bry, dyshydrotic eczema first visible symptoms came anxiety depression sinus inf
Tami_Bry, ive spent last years trying escape abuse cant safely rely solution provide
Tami_Bry, great information elaborate cold exposure technique mentioned article making anxiety
Tami_Bry, sad reality society problem accepting someone ptsd goes crazy hurts others yet fail
Tami_Bry, memories veterans son living undiagnosed ptsd via
Tami_Bry, like lyme infection epidemic malaria infection epidemic disguised ptsd
steph6harts, story abuse depression anxiety recovery worked hard please share
steph6harts, suffer sever anxiety ptsd really tough know breathing acupuncture really
PRTWriter, might noti clinical depression great anime taught gonna carry
PRTWriter, southpark stop crap career suicide answer
tokyoonseok, also anxiety disorders
tokyoonseok, thats stan bts
tokyoonseok, met bts
tokyoonseok, major depression
tokyoonseok, snow copany like snapchat know filters bts uses thats snow zepeto safe yall
Funk_Iero, doesnt help anxiety flares time feel like im choking thinking
Funk_Iero, depression crippling hate feel forced anything im low eb telling
LaylaElFan1, depression generalized anxiety disorder social anxiety disorder struggle
LaylaElFan1, depression generalized anxiety disorder social anxiety disorder
LaylaElFan1, yes social anxiety ruined life real cannot lot normal stuff im
LaylaElFan1, well fact social anxiety disorder ive ever since child
LaylaElFan1, anxiety going fucking end im sick tired terrified living im scared death life
lexivranick, church today priest mention people feel depressed holidays amp made point say de
lexivranick, a2 personally lot going day job department month caused lot stress
lexivranick, may accidentally turned simple slasherhorror story allegory stigma amp improper handling ment
lexivranick, adventurous letting hair stylist decide color hair going pray anxiety
Frankenstfu, miw better make best album career something distract ghost depression
TheRealTBruce, thing holding back living fulfilling life little energy fighting depression
TheRealTBruce, gamessowhite zoe quinns shitty excuse text adventure patriarchy depression mystruggles shitlord
OctopusNacho, delightful stabbing pain get chest something sets anxiety really badly anxiety
OctopusNacho, person dont know im sure really believe depression anxiety think get also
OctopusNacho, half night tight chest palpitations job thats causing joy anxiety
OctopusNacho, anxiety hits left field youre watching tv like bam idea whats happen
OctopusNacho, could regenerate like doctor im pretty sure anxiety would regenerate doctorwho anxietyproblems anxietyawareness
OctopusNacho, anxiety kids mix well kid hide behind bed jumped think anxiety legitimat
OctopusNacho, wonder id didnt crippling self doubt poor self esteem crazy anxiety depression would
OctopusNacho, anxiety middle night hey worried cool anxiety worried
OctopusNacho, mental illness confusing like google crying time like maybe youre depressed
OctopusNacho, trying peaceful walk secluded unknown anxiety thinks best fie
OctopusNacho, love cats pretend dont separation anxiety amp totally dont need youlike nah dude totally gon
OctopusNacho, inception cool dream within dream scenario dream within dream anxiety
OctopusNacho, depression hits like truck day get cold funtimes depression notfeelingit
OctopusNacho, horrid anxiety attacks trying get sleep waking night wished time
OctopusNacho, need make important phone call anxiety leave til tomorrow said yesterday anxiety
OctopusNacho, autumn time year play cant get cold dark bim depressed loat
OctopusNacho, random science query youve severely depressed ages amp rare joyful day flood feel goo
OctopusNacho, allowed ask depressed person tired fact dont ask anyone ask ther
OctopusNacho, dear brain already anxiety im stressed actually dont need woken nightmares making feel wo
spacepaedo, jay alzheimers
RoyalHoeliness, gonna hit gym soon mentioned use exercise manage depression anxiety wrote
RoyalHoeliness, ive started travel despite social anxiety ive flown several times grounding period lasted months
Ms_JayneMarie, wish kinda support comes dealing anexity depression
Ms_JayneMarie, depression thoughts beating brain day home alone nothing interesting watch read
Ms_JayneMarie, depression therapist wasteoftime
ItzRottie, right need stop making depression something small effects many people eve
mrithejester, please read thread journey major depression since 2012 still
mrithejester, perhaps need another century treat depression illness women people
mrithejester, done except attempting suicide planned tiniest detail selfharm coping mecha
mrithejester, nothing eliminates trauma would allpowerful god let happen child first place
mrithejester, depression started years ago suddenly dropped 66kg 58
mrithejester, thing got real life find place comfortable good anxiety years
EIDiabloRojo, emotional connections gone last year would sent depression im arsed
untitled0000000, keep ignoring depression caused worsened dismize something else
untitled0000000, get away convinced done right thing leave heavily depressed yo
untitled0000000, dont cause someone depression ignore worsens make hell persons life
untitled0000000, dont know want achieve denying depression minimizing person
untitled0000000, thank making cry much thank giving horrendous depression doesnt improve thank
untitled0000000, ones benefited worsening depression got duped betrayed heart broken
untitled0000000, thank ruining life giving worse depression ever keep using favor
untitled0000000, yes youve ment well ones caused depression worsen ha
untitled0000000, depressed struggling alone yes mood swings dont full control
untitled0000000, depression living dark thoughts urges blurt foundation
untitled0000000, depression noise answering telephone making decisions afraid making decisions
untitled0000000, depression severe easily explained kids
untitled0000000, hate depression im miss miss things compared
untitled0000000, dont believe existence depression interested informing provide sup
untitled0000000, depression victims mentality fear doubt procrastination lack courage selfesteem
untitled0000000, work 79 blutack kneaded rolled ball depressed wall martin creed 1993
untitled0000000, trying really control thoughts easily could heavy depression
untitled0000000, ignorant dont bother inform ends hurting depressed person
caehawksmoor, ive suffered depression life recently started accept probably always
caehawksmoor, loving sound already soft spot depressed commander
ricflairdahvid, fam origi must suffer depression would ran length pitch celebrating goal
KBGoddard, battle try stay positive productive deal anxiety depression
killmeyoongii, yoongi depression anxiety sarcastically savage hate big crowds hav
killmeyoongii, uh friend trying calm seeing bts hhhh
killmeyoongii, thats lot bts fans also marvel fans
killmeyoongii, think getting bts hype like crazy say
killmeyoongii, color blue green black remind bias yoongi red white remind bts whole
killmeyoongii, bts posts anything army
killmeyoongii, first bts real kpop wtf second shes real army real army love support kpop groups
natigueNY, depression really made look dusty mayseptember 2018 damn didnt snap cut hair
natigueNY, manipulation abuse
natigueNY, lemme guess suicide
VelliniV, happening rock roll suicide thing referenced
VelliniV, lot wrong bipolar drinks rea
VelliniV, certain dj thinks posting reference suicide instagram story joyously playing
xx_earthyjess, horrible ass coping habits depression ie oversleeping excessive drinking eating lea
xx_earthyjess, wish anxiety would fuck
xx_earthyjess, spontaneously buying tickets best friends go day show new orleans given slight anxiety
xx_earthyjess, trying hard dig depression ill feel good couple days crash fucking hard
xx_earthyjess, fucking crazy weed amp espresso make feel little less depressed
melonmyg, thank existing bringing happiness around saved millions us depression
melonmyg, stan legends stan bts stan satan uwu
melonmyg, ikr bts breathed smh
jojiebooks, case didnt know im depression
jojiebooks, real depression hours
jojiebooks, take suicide city nooses thick death pretty
jojiebooks, case didnt know im depression
jojiebooks, real depression hours
