Sibusiso_Mtambo,"['mighty', 'jesus', 'tonight', 'broken', 'pray', 'name', 'family', 'mental', 'every', 'depression']"
k_mcglamery,"['decorate', 'playlist', 'spotify', 'forgetting', 'awesome', 'afford', 'worse', 'angry', 'kids', 'keep', 'anything', 'made', 'makes', 'never', 'want', 'even', 'use', 'get', 'depressed', 'im']"
kaigogiburdens,"['europe', 'interesting', 'nice', 'job', 'watch', 'commit', 'suicide']"
camoyoshi,"['yelled', 'getting', 'makes', 'die', 'anxiety']"
Sex_Vampires,"['refuse', 'longing', 'aspects', 'changes', 'bisexual', 'vegan', 'whore', 'business', 'owner', 'obsessed', 'youve', 'thru', 'relationship', 'harm', 'found', 'east', 'amp', 'sexual', 'believe', 'physical', 'miss', 'bc', 'struggle', 'first', 'lol', 'self', 'great', 'deal', 'sex', 'give', 'makes', 'yes', 'may', 'everyone', 'years', 'esp', 'life', 'abuse', 'like', 'feel', 'ive', 'depressed', 'depression', 'im']"
pear_power,"['voices', 'wanting', 'nieces', '1st', 'mcdonalds', 'stuck', 'shaped', 'cataclysmic', 'tsunami', 'cunt', 'wind', 'destructive', 'behaviours', 'mindset', 'personalitys', 'fluid', 'switching', 'staysafe', 'eyes', 'devastate', '136', 'midnight', 'britain', 'throwing', 'selfish', '1893', 'batteries', 'remote', 'havnt', 'stormed', '5627', 'lighter', 'melt', 'veins', 'headphones', 'bpd', 'little', 'problem', 'lyrics', 'unhealthy', 'contemplating', 'housing', 'situation', 'someones', 'approach', 'absolutely', 'nobody', 'stay', 'birthday', 'safe']"
tradercliq,"['expectancy', 'dropped', 'partly', 'third', 'blame', 'drugs', 'row', 'life', 'year', 'suicide', 'us']"
USATODAY,"['simply', 'attempted', 'eventually', 'youve', 'share', 'wont', 'youre', 'story', 'lost', 'cause', 'part', 'many', 'everyone', 'going', 'think', 'people', 'suicide', 'thing', 'one']"
burial_yeet,"['stomachaches', 'arise', 'google', 'chest', 'search', 'pain', 'stop', 'depression']"
ptsdeverest,"['mentalhealthawarenessday', 'airport', 'nightmares', 'borderlinepersonalitydisorder', 'persons', 'selfesteem', 'mentalhealthmatters', 'borderline', 'ptsd', 'climb', 'himalayan', 'mountain', 'cancer', 'besides', 'everest', 'k2', 'favourite', 'ipod', 'craziness', 'burton', 'timburton', 'quotes', 'dalai', 'lama', 'positivity', 'differentwayoflookingatit', 'thursdaythoughts', 'scenerio', 'rescue', 'pearls', 'fuckdepression', 'obnoxious', 'ground', 'summits', 'altitude', 'flight', 'jamaica', 'enjoylife', 'tattoos', 'inspiritation', 'biography', 'pastlive', 'everythinggoeswrong', 'underestimate', 'instinct', 'barbara', 'corcoran', 'rights', 'violations', 'songlyrivs']"
GMECompliance,"['surgeon', 'generations', 'clinicians', 'unless', 'burnout', 'physician', 'concerned', 'residents', 'patient', 'future', 'medical', 'treating', 'beings', 'systemic', 'poorman', 'analysis', 'traini', 'superiors', 'frequently', 'noted', 'mistreatment', 'perpetrators', 'dysfunctional', 'presents', 'insidious', 'increases', 'trailer', 'film', 'explores', 'silent', 'physicians', 'harassment', 'intimidation', 'change', 'environment', 'excellent', 'green', 'students', 'verbal', 'fellow', 'loss', 'epidemic', 'summary', 'patients', 'cared', 'mentally', 'bullying', 'culture', 'resident', 'professional']"
xo_laniex,"['december', 'lowest', 'rest', 'last', 'year', 'time', 'suicidal', 'ever', 'depressed']"
GarthGodsman,"['sexreassignment', 'surgery', 'apparent', 'mode', 'becomes', 'samantha', 'facto', 'shes', 'increase', 'says', '10', 'anger', 'rid', 'trying', 'rate', 'year', 'though', 'therapy', 'people', 'get', 'suicide', 'de']"
Ru_bbaaa,"['stoped', 'became', 'personality', 'rid', 'new', 'whole', 'thoughts', 'got', 'self', 'person', 'depression', 'ha']"
leoprincessa,"['placements', 'correlating', 'advice', 'either', 'illness', 'remember', 'big', 'wouldnt', 'mental', 'thank', 'never', 'help', 'much', 'life', 'real', 'anxiety', 'depressed', 'im']"
AgentDrReid,"['wondered', 'position', 'related', 'something', 'new', 'stress']"
schaaronl,"['otis', 'mays', 'bobby', 'joe', 'champion', 'conspired', 'claim', 'wwit', 'lesson', 'taught', 'puts', 'frame', 'mary', 'swear', 'national', 'felt', 'power', 'hello', 'asking', 'wont', 'stuff', 'roy', 'far', 'attack', 'fall', 'back', 'cause', 'mad', 'mind', 'love', 'would', 'hit', 'amp', 'say', 'really', 'abuse', 'want', 'know', 'dont', 'anxiety', 'ex', 'like', 'go', 'im']"
summerlove178,"['latuda', 'commercial', 'kourtney', 'kardashian', 'freaky', 'lady', 'looks', 'super', 'lol', 'polar', 'bi', 'like', 'depression']"
daygoodes,"['bumping', 'boyband', 'subtle', '2017', 'summer', 'album', 'korean', 'behind', 'psychology', 'love', 'hell', 'better', 'bts', 'still', 'kin', 'depressed']"
genhuxsolo,"['teased', 'doniconi', 'assumed', 'jaehyo', 'block', 'gaëlle', 'bueno', 'leere', 'porque', 'tratando', 'gusten', 'usualmente', 'enganc', 'hashtag', 'assume', 'spends', 'aun', 'nowhere', 'decided', 'obvious', 'whos', 'kpop', 'mutual', 'liked', 'talked', 'showed', 'idol', 'tweets', 'symptoms', 'anda', 'either', 'wasnt', 'least', 'job', 'inst', 'talking', 'anything', 'morning', 'que', 'bts', 'whole', 'asi', 'gonna', 'doesnt', 'mean', 'start', 'tell', 'thats', 'also', 'never']"
for_meagan,"['fightingformeagan', 'endthestigma', 'keeptalkingmh', 'tbi', 'wednesdaywisdom', 'sicknotweak', 'retweet', 'meagan', 'fridayfeeling', 'fridaymotivation', 'mentalillness', 'suicideawareness', 'update', 'suicideprevention', 'bipolar', 'ptsd', 'thru', 'saturdaymorning', 'saturdaymotivation', 'toughtimes', 'beginning', 'team', 'toxicpeople', 'positivethinking', 'logan', 'veteransday', 'veteransday2018', 'beret', 'meagans', 'solution', 'wednesdaymotivation', 'retweeetplease', 'fight', 'roof', 'suggested', 'green', 'vietnam', 'makechesterproud', 'lpfamily', 'beyourself', 'dance', 'bpd', 'choose', 'saved', 'forces', 'toxic', 'empathy', 'oil', 'shes', 'student']"
sadtendencies,"['tells', 'written', 'youve', 'unicef', 'ambassadors', '2010', 'donated', 'mvs', 'succeeding', 'beauty', 'standards', 'police', 'essays', 'understands', 'joking', 'society', 'seeking', 'hates', 'shinee', 'fans', 'lifes', 'racism', 'government', 'unless', 'ahead', 'hoe', 'strange', 'cares', 'idc', 'ugly', 'educa', 'forget', 'loneliness', 'known', 'attention', 'find', 'felt', 'notes', 'experienced', 'commits', 'beautiful', '40', 'lost', 'anything', 'wanted', 'simple', 'freak', 'gets', 'dead', 'worthless']"
Hannahcremer_,"['showering', 'dereal', 'crazy', 'goodbye', 'update', 'sleeping', 'stressed', 'went', 'night', 'away', 'bad', 'okay', 'yall', 'havent', 'actually', 'sometimes', 'well', 'things', 'times', 'long', 'therapy', 'never', 'today', 'going', 'think', 'time', 'depression', 'anxiety', 'one']"
Br00keMcCormick,"['yeah', 'better', 'today', 'really', 'depressed']"
Daisyville,"['determinative', 'unspeakable', 'nicest', 'incredibly', 'correct', 'heard', 'damn', 'pretty', 'put', 'psycho', 'trauma', 'way', 'suicidal', 'ive', 'depressed', 'fe']"
2030_Seamus,"['sucidalthoughts', 'isolated', 'websites', 'struggling', 'severely', 'pls', 'mentalhealthawareness', 'afraid', 'discuss', 'follow', 'mentalhealth', 'issues', 'severe', 'thanks', 'nothing', 'want', 'back', 'people', 'health', 'cant', 'know', 'mental', 'con', 'suicidal', 'depressed', 'one', 'depression']"
wimpeafowl,"['scouring', 'internet', 'spend', 'money', 'feeling', 'really', 'dont', 'depressed']"
PresidentAmelia,"['napping', 'desire', 'supervisor', 'tips', 'bullying', 'dealing', 'related', 'honestly', 'made', 'hard', 'work', 'anxiety', 'depressed']"
arj1,"['criminalisation', 'assisted', 'evil', 'humane', 'monsters', 'crime', 'important', 'medicalisation', 'professionals', 'abundantly', 'unrelentin', 'unlimited', 'blatant', 'cruelty', 'saves', 'thoroughly', 'whats', 'basis', 'ruining', 'perhaps', 'laws', 'bare', 'youre', 'basic', 'wrong', 'clear', 'escape', 'care', 'truth', 'thats', 'system', 'imagine', 'suffering', 'let', 'nothing', 'cant', 'child', 'something', 'able', 'stop', 'die', 'could', 'suicide', 'good', 'think', 'dont', 'still', 'see', 'need', 'life']"
TheLostSkyBoy,"['obout', 'climate', 'species', 'naps', 'spelling', 'sensitive', 'creative', 'lifes', 'endless', 'barely', 'loneliness', 'destroying', 'reality', 'humans', 'excuse', 'escape', 'environment', 'couldnt', 'dreams', 'boys', 'social', 'thread', 'goes', 'change', 'black', 'living', 'session', 'thinking', 'struggle', 'sleep', 'commit', 'ptsd', 'suffer', 'late', 'thoughts', 'got', 'also', 'much', 'take', 'amp', 'talk', 'life', 'therapy', 'time', 'feel', 'real', 'depression', 'suicidal', 'like', 'one']"
MellowD,"['alpha', 'residential', 'rehab', 'heroin', 'guys', 'manic', 'house', 'thanks', 'sometim', 'addiction', 'wa', 'depression']"
LeWolfCzU,"['multiple', 'suspensions', 'has20', 'account', 'dear', 'previous', 'repeat', 'mention', 'point', 'fact', 'right', 'abuse', 'person']"
misukiart,"['kda', 'popstars', 'gidle', 'madison', 'beer', 'jaira', 'burns', 'steve', 'liked', 'drop', 'video', 'mic', 'amp', 'ft', 'bts']"
samsarver,"['luv', 'quirky', 'cuttin', 'facebook', 'waking', 'existential', 'dread', 'animal', 'aint', 'gives', 'worst', 'bitch', 'keep', 'lol', 'better', 'attack', 'look', 'night', 'ya', 'feeling', 'thought', 'ass', 'fuck', 'abuse', 'end', 'every', 'tho', 'anxiety', 'tl', 'feel', 'real', 'thing', 'depressed']"
soph_rafferty,"['jan', 'appetite', 'size', 'pls', 'lose', 'come', 'back', 'hard', 'anxiety']"
fancychae,"['durur', 'yapıştırmış', 'cevabı', 'bts', 'mu', 'de']"
momiestefani,"['internets', 'hateful', 'youth', 'response', 'trans', 'make', 'depressed', 'suic']"
FennelSpice,"['anything', 'severe', 'long', 'let', 'talk', 'need', 'man', 'know', 'ive', 'ever', 'depression', 'ay']"
BiasedNerd,"['hyungkyun', 'binging', 'doubting', 'chapters', 'ao3', 'penny', 'dreadful', 'kdrama', 'netflix', 'monsta', 'finish', 'energy', 'binge', 'worrying', 'quote', 'half', 'killi', 'whatever', 'written', 'wanted', 'please', 'hello', 'stuff', 'next', 'probably', 'says', 'comes', 'making', 'crying', 'lets', 'twitter', 'yet', 'thoughts', 'friends', 'fic', 'literally', 'atm', 'days', 'gonna', 'nothing', 'make', 'start', 'commit', 'live', 'long', 'back', 'add', 'hard', 'also', 'let']"
rrnbncld,"['nakakamatay', 'journalist', 'daming', 'pala', 'pota', 'threat', 'maging', 'suicide']"
ecstasysin,"['hurtful', 'bruises', 'frustratedsad', 'tired', 'pain', 'made', 'friend', 'cant', 'life', 'end', 'suicidal', 'depression']"
EmilConrad,"['accused', 'glamorizing', '134', 'boi', 'tunes', 'golden', 'waitttt', 'sums', 'asmr', 'nicest', 'pulled', 'minutes', 'voice', 'basically', 'quick', 'showed', 'album', 'finally', 'straight', 'happens', 'looks', 'comes', 'second', 'tired', 'happy', 'hour', 'deal', 'something', 'yes', 'sad', 'also', 'tru', 'get', 'mu', 'depression', 'like', 'suicide', 'depressed']"
_Loststarr,"['suffering', 'fucking', 'still', 'anxiety', 'im']"
_brittanysimone,"['whether', 'problems', 'etc', 'please', 'many', 'suffer', 'thoughts', 'say', 'health', 'mental', 'people', 'kn', 'real', 'suicidal', 'depression', 'anxiety']"
madamada_bot,"['grief', 'saiharas', 'shinguujis', 'names', 'sister', 'almost', 'pull', 'group', 'trying', 'good', 'therapy', 'time']"
TracyBldwn,"['shawn', 'mendes', 'sexuality', 'taylor', 'swift', 'buzzfeed', 'opened', 'text', 'panic', 'made', 'anxiety']"
jen_ylagan,"['kung', 'pano', 'gigising', '6am', 'bukas', 'ako', 'trial', 'error', 'aba', 'ngayon', 'next', 'guess', 'morning', 'well', 'try', 'person', 'year', 'really', 'therapy', 'stress', 'na', 'ng']"
michaelreilly25,"['rebuilding', 'soberlife', 'addiction']"
LostWolfling,"['interrupts', 'massage', 'tiny', 'gold', 'scene', 'movie', 'watch', 'please', 'therapy']"
BebsCheshirecat,"['grandmother', 'unwillingness', 'caused', 'dad', 'taking', 'show', 'everything', 'hate', 'stress']"
shadowqueen2016,"['cough', 'momokun', 'temporary', 'bullied', 'excuse', 'internet', 'emotional', 'using', 'enough', 'break', 'adhd', 'put', 'take', 'abuse', 'ive']"
dhernandeza321,"['coffee', 'found', 'addiction', 'new']"
SjurMidttun,"['brazil', '188', 'hotline', 'called', 'practically', 'depressing', 'asked', 'joke', 'second', 'guy', 'call', 'kill', 'time', 'suicide', 'ever', 'suici']"
KilikaBlack,"['spoke', 'cliff', 'leaving', 'suppose', 'edge', 'notes', 'dad', 'wish', 'never', 'suicidal', 'like', 'depressed', 'ca']"
Colin_Dolan,"['battling', 'lads', 'beat', 'fighting', 'mentally', 'certainly', 'forward', '210', 'survived', 'comments', 'immune', 'stronger', 'couple', 'strength', 'visit', 'yesterday', 'months', 'positive', 'sadly', 'knee', 'mentalhealthmatters', 'cope', 'battle', 'fear', 'brought', 'biological', 'beaten', 'injuries', 'finding', 'unable', 'concentrating', 'positives', 'weaker', 'worn', 'intend', 'upon', 'gained', 'scary', 'travelled', 'drives', 'corner', 'raising', 'educating', 'yerte', '6881', 'playi', 'spending', 'convincing', 'attend', '5aside']"
wordygirl11,"['statistically', 'daniel', 'depth', 'valid', 'brother', 'experienced', 'concern', 'knowing', 'two', 'family', 'lost', 'ppl', 'ago', 'years', 'love', 'think', 'suicide']"
paddy_qualter,"['council', 'rotherham', 'ignore', 'massive', 'seriously', 'wrong', 'first', 'something', 'child', 'abuse']"
TheAminaWright,"['misery', 'likes', 'trent', 'drugsalcohol', 'psychologically', 'damaged', 'assholes', 'substance', 'mixed', 'rehab', 'duty', 'refuse', 'created', 'dumb', 'stupid', 'aint', 'decision', 'alcohol', 'poor', 'wasnt', 'damn', 'wil', 'told', '10', 'fucking', 'god', 'always', 'something', 'right', 'care', 'everyone', 'years', 'help', 'take', 'abuse', 'therapy', 'people', 'time', 'get', 'ag', 'depression', 'go', 'depressed']"
bIeachads,"['counselor', 'thread', 'watch', 'put', 'time', 'suicide']"
emiliaboleyn,"['idgaf', 'babe', 'replied', 'evanescence', 'contacted', 'shitty', 'ruining', 'mr', 'bpd', 'fallen', 'hits', 'means', 'finally', 'aint', 'tbh', 'concert', 'alcohol', 'soon', 'mh', 'therapist', 'saying', 'pretty', 'fucking', 'thanks', 'hour', 'sure', 'kill', 'youre', 'nothing', 'better', 'shit', 'going', 'help', 'life', 'time', 'day', 'era', 'one', 'depression', 'im']"
CUnderwoodUK,"['themsel', 'flawless', 'dysmoprhia', 'increasingly', 'noticed', 'apologise', 'harder', 'studied', 'students', 'easy', 'realise', 'lately', 'courage', 'common', 'cuz', 'knew', 'mix', 'etc', 'logic', 'making', 'body', 'done', 'psychology', 'twitter', 'yeah', 'adhd', 'bpd', 'stigma', 'well', 'last', 'add', 'going', 'talk', 'health', 'year', 'mental', 'know', 'therapy', 'think', 'oc', 'people', 'stress', 'feel', 'get', 'anxiety', 'like', 'ive', 'depression', 'im']"
RussPurdie,"['children', 'alleged', 'reason', 'leaves', 'wife', 'valid', 'must', 'commits', 'massive', 'behind', 'decision', 'leave', 'without', 'commit', 'big', 'done', 'hell', 'ust', 'suicide', 'think', 'one', 'mo']"
pvttersjedi,"['mouth', 'hehehee', 'shut', 'keep', 'bad', 'need', 'anxiety']"
treyj_miller,"['rational', 'inate', 'scholarly', 'incorrect', 'dogmatism', 'exclusive', 'existence', 'permanent', 'religion', 'ranting', 'article', 'prove', 'three', 'perman', 'isnt', 'disagree', 'decid', 'spent', 'needs', 'hours', 'thoughts', 'due', 'never', 'think', 'live', 'person', 'suicidal', 'suicide', 'one', 'pe']"
MikiTakesPhotos,"['relatable', 'mush', 'outside', 'quickly', 'inside', 'running', 'selfportraits', 'unshowered', 'chain', 'chamomile', 'depressionisreal', 'struggles', 'released', 'ideations', 'combination', 'descri', 'bojack', 'livetweeting', 'grows', 'roiling', 'feet', 'passive', 'lethargic', 'recovering', '3ish', 'traveling', 'accomplishments', 'write', 'dead', 'major', 'recently', 'insomnia', 'sympathy', 'becomes', 'walking', 'poetry', 'learned', 'whether', 'checking', 'doctor', 'posted', 'bottom', 'failure', 'smoking', 'correct', 'humans', 'yrs', 'means', 'ward', 'plans']"
Weaklymelon,"['terrible', 'bother', 'yeah', 'afraid', 'stuff', 'past', 'suffered', 'tired', 'didnt', 'wish', 'cause', 'makes', 'actually', 'could', 'well', 'things', 'people', 'say', 'really', 'want', 'real', 'thing', 'ive', 'depression', 'depressed']"
Suicidal_Buddha,"['codin', 'buddhism', 'zen', 'generalnote', 'debating', 'philosophy', 'universe', 'parts', 'rant', 'suffering', 'psychology', 'part', 'commit', 'addiction', 'new', 'hard', 'take', 'need', 'really', 'way', 'suicide']"
assistitomon,"['hindi', 'whatnot', 'irita', 'pure', 'sadness', 'wonder', 'bit', 'hate', 'thats', 'depression']"
timomuvuz3,"['criminals', 'impoverished', 'exploitation', 'punish', 'crimes', 'earlier', 'causes', 'sexual', 'drug', 'full', 'abuse', 'real']"
reginecahanding,"['image', 'alive', 'seen', 'asked', 'god', 'still', 'suicidal', 'ive', 'anxiety', 'depressed', 'wa']"
razonablemoniq,"['introduced', 'etci', 'ruined', 'iloveyou', 'called', 'names', 'sucked', 'problematic', 'youll', 'reached', 'sucks', 'sadness', 'experienced', 'childhood', 'whatever', 'always', 'answer', 'etc', 'soon', 'kid', 'already', 'isnt', 'problem', 'lot', 'maybe', 'friends', 'since', 'ppl', 'ways', 'right', 'sad', 'bad', 'feeling', 'people', 'help', 'going', 'sl', 'think', 'ive', 'stress', 'feel', 'get', 'depressed', 'suicide', 'ever', 'anxiety', 'im', 'th']"
playingamanda,"['realised', 'melbourne', '1300', '651', '251', 'dramatherapy', 'darwin', 'breeze', 'outdoors', 'lifeline', '44', '11', 'gentle', 'room', 'working', '13', 'sorry', 'isnt', 'morning', 'line', 'love', 'therapy', 'suicide']"
RogerBlazic,"['consumers', 'scars', 'clothes', 'mentalhealthmatters', 'endthestigma', 'despair', 'alzheimers', 'recovery', 'tweets', 'lived', 'mentalhealth', 'blog', 'half', 'yrs', 'brlliant', 'protect', 'marijuana', 'neil', 'nailed', 'creates', 'hence', 'hva', 'legoland', 'lego', 'repost', 'dopesick', 'kate', 'attitude', 'entertain', 'selfloathing', 'million', 'triple', 'uncle', 'yelling', 'passengers', 'stopsuicide', 'lotsof', 'garbage', 'ecactly', 'wjat', 'thousands', 'painless', 'aidens', 'sales', 'sentence', 'reversal', 'treatments', 'purported', 'progress', 'hardest']"
I_Shah15,"['toxicity', 'cut', 'abuse']"
todorokissjoon,"['hoseoks', 'bookmarks', 'behavior', 'artist', 'iconic', 'fisrt', 'memorable', 'armys', 'jpn', 'unofficial', 'merch', 'bulk', 'fcckn', 'vocals', 'soooo', 'screamingggg', 'bts', 'nation', 'favorite', 'congratulations', 'fab', 'namjoon', 'goood', 'parts', 'asia', 'selling', 'grateful', 'snapped', 'legends', 'winning', 'legend', 'tbh', 'heard', 'awards', 'gonna', 'song', 'group', 'buy', '2018', 'good', 'always', 'morning', 'miss', 'ones', 'night', 'fuckin', 'year', 'go', 'im', 'hi']"
Aiden_NV,"['small', 'simple', 'hug', 'mentalhealthawareness', 'right', 'things', 'friend', 'someone', 'talk', 'need', 'really']"
sadqueerjpg,"['ramen', 'plantain', 'chips', 'dissociationing', 'actively', 'crying', 'wild', 'cream', 'shin', 'panic', 'post', 'gonna', 'week', 'attack', 'ptsd', 'ice', 'lie', 'ya', 'know', 'even', 'thing', 'ate', 'depression']"
ummmrita,"['schizophrenia', 'broadcast', 'continuing', 'relapse', 'shrink', 'ssris', 'altogether', 'seemed', 'fine', 'meds', 'understood', 'gender', 'clear', 'called', 'symptom', 'session', 'theres', 'something', 'long', 'also', 'thought', 'want', 'dont', 'time', 'real', 'depression']"
zivankaaaa,"['rice', 'cakes', 'energized', 'gotten', 'countless', 'drunk', 'service', 'toes', 'cold', 'drinking', 'coffee', 'shopping', 'pet', 'attacks', 'online', 'super', 'needs', 'omg', 'song', 'anxious', 'eating', 'meds', 'bc', 'cry', 'gonna', 'fucking', 'take', 'cant', 'need', 'work', 'therapy', 'anxiety', 'get', 'im', 'one', 'depressed']"
PaulDSmith13,"['presumption', 'legislation', 'provinces', 'ottawa', 'staffing', 'thewayforward', 'challenge', 'btw', 'safe', 'ptsd', 'fighting', 'helped', 'cute', 'advice', 'seriously', 'violen', 'works', 'lets', 'two', 'bad', 'matter', 'happen', 'days', 'someone', 'actually', 'doesnt', 'health', 'care', 'hard', 'see', 'act', 'get', 'suicidal', 'like', 'ver', 'depression']"
vn_potty,"['dbs', 'tolootsell', 'temple', 'property', 'partygoons', 'hindus', 'employ', 'great', 'work', 'abuse', 'der']"
HusamBalushi,"['bored', 'especially', 'started', 'saying', 'around', 'commit', 'hate', 'lot', 'want', 'people', 'suicide']"
wormsona,"['contains', 'graphic', 'scenes', 'rlly', 'vivid', 'content', 'triggers', 'warning', 'sexual', 'knows', 'dreams', 'theyre', 'idk', 'meds', 'literally', 'fic', 'adhd', 'abuse']"
ThaPyceez,"['yup', 'fatal', 'flaws', 'sabotage', 'blessed', 'fucks', 'everyday', 'control', 'peace', 'constant', 'learn', 'coming', 'god', 'severe', 'bc', 'cause', 'hes', 'thank', 'mind', 'self', 'also', 'anxiety', 'one', 'depression']"
SadPeach11,"['considered', 'senior', 'highschool', 'havin', 'courage', 'gave', 'started', 'broke', 'already', 'cut', 'isnt', 'wish', 'hope', 'doesnt', 'sad', 'commit', 'addiction', 'thoughts', 'today', 'make', 'year', 'even', 'suicide', 'im', 'depressed']"
mdpride13,"['nine', 'girlie', 'zoo', 'circus', 'animal', 'beca', 'quit', 'wow', 'cured', 'option', 'longer', 'sun', 'wanna', 'fucking', 'fuck', 'morning', 'world', 'whole', 'thanks', 'sea', 'sad', 'fl', 'old', 'everyone', 'years', 'live', 'good', 'thought', 'life', 'abuse', 'use', 'suicide', 'depressed', 'depression', 'im']"
hectorg1931,"['threatening', 'rose', 'liable', 'personnel', 'contacted', 'contact', 'twitter', 'joke', 'listen', 'support', 'please', 'never', 'suicide']"
_nrmsh,"['zero', 'weekend', 'feverflu', 'gahhhhhhh', 'hitting', 'due', 'done', 'work', 'hard', 'rn', 'anxiety']"
essemtee,"['tarot', 'immediately', 'dishwashers', 'validation', 'pizzas', 'bottle', 'wine', 'keshas', 'whitegirlshit', 'agodunno', 'pulled', 'placement', '16', 'bucks', 'hrs', 'stopping', 'committing', 'express', 'endured', 'card', 'phone', 'bio', 'period', '22', '24', 'praying', 'waiting', 'drinking', 'cured', 'future', 'reading', 'attacks', 'text', 'spent', 'death', 'anymore', 'crying', 'months', 'two', 'god', 'giving', 'morning', 'whole', 'made', 'sex', 'care', 'order', 'night', 'late', 'oh']"
HowAboutBeth,"['sans', 'physio', 'occupational', 'samantha', 'department', 'environment', 'thanks', 'amp', 'therapy', 'aw', 'every', 'like']"
YungHungLINK,"['stings', 'violent', 'especially', 'bipolar', 'shit', 'hate', 'ya', 'see', 'gg', 'like', 'depression']"
ihatemylife9148,"['fund', 'visit', 'page', 'sort', 'minute', 'male', 'brother', 'dwayne', 'whose', 'walahi', 'please', 'trying', 'disturbing', 'battling', 'contemplating', 'rock', 'track', 'bottom', 'share', 'take', 'young', 'self', 'sorry', 'guy', 'dm', 'severe', 'break', 'thoughts', 'back', 'sor', 'talk', 'life', 'day', 'go', 'mental', 'every', 'im', 'depressed', 'suicide', 'get', 'depression', 'hi']"
ohheyymama,"['cried', 'seizures', 'sounds', 'jk', 'turning', 'weird', 'induced', 'couch', 'notice', 'tomorrow', 'enough', 'idk', 'hour', 'kill', 'actually', 'sleep', 'sometimes', 'night', 'last', 'back', 'pos', 'people', 'want', 'dr', 'even', 'dont', 'stress', 'feel', 'ill', 'ba', 'like', 'one', 'anxiety', 'im', 'depressed']"
youssef_tarek12,"['feat', 'isolation', 'time', 'depression']"
onelastkick71,"['waited', 'dismissed', 'newspaper', '230', 'building', 'failure', 'forever', 'interview', 'sicknotweak', 'online', 'died', 'bpd', 'second', 'months', 'lost', 'night', 'friend', 'last', 'feel', 'like', 'suicide', 'anxiety', 'depression']"
Efo_Etor,"['sorrrr', 'righteous', 'anka', 'matete', 'pinned', 'meanwhile', 'judging', 'fake', 'human', 'tweet', 'ein', 'talk', 'make', 'come', 'self', 'ah', 'feeling', 'take', 'say', 'people', 'get', 'suicidal', 'depression', 'go']"
